time,default.BouncingBall.time,default.BouncingBall.h,default.BouncingBall.der(h),default.BouncingBall.v,default.BouncingBall.der(v),default.BouncingBall.v_min,default.BouncingBall.g,default.BouncingBall.e
0.0,0.0,1.0,0.0,0.0,-9.81,0.1,-9.81,0.7
0.001,0.001,0.9999903266552843,-0.009810000000000006,-0.009810000000000006,-9.81,0.1,-9.81,0.7
0.002,0.002,0.9999740190044688,-0.019620000000000005,-0.019620000000000005,-9.81,0.1,-9.81,0.7
0.003,0.003,0.9999489631208637,-0.029429999999999998,-0.029429999999999998,-9.81,0.1,-9.81,0.7
0.004,0.004,0.999914451159662,-0.03924,-0.03924,-9.81,0.1,-9.81,0.7
0.005,0.005,0.9998702471725948,-0.049049999999999996,-0.049049999999999996,-9.81,0.1,-9.81,0.7
0.006,0.006,0.999816272510239,-0.058859999999999996,-0.058859999999999996,-9.81,0.1,-9.81,0.7
0.007,0.007,0.9997525009561203,-0.06867,-0.06867,-9.81,0.1,-9.81,0.7
0.008,0.008,0.9996789237714141,-0.07848000000000001,-0.07848000000000001,-9.81,0.1,-9.81,0.7
0.009000000000000001,0.009000000000000001,0.9995955380431787,-0.08829000000000001,-0.08829000000000001,-9.81,0.1,-9.81,0.7
0.010000000000000002,0.010000000000000002,0.9995023428004336,-0.0981,-0.0981,-9.81,0.1,-9.81,0.7
0.011000000000000003,0.011000000000000003,0.9993993377195185,-0.10791,-0.10791,-9.81,0.1,-9.81,0.7
0.012000000000000004,0.012000000000000004,0.9992865226925468,-0.11772,-0.11772,-9.81,0.1,-9.81,0.7
0.013000000000000005,0.013000000000000005,0.9991638976835562,-0.12753,-0.12753,-9.81,0.1,-9.81,0.7
0.014000000000000005,0.014000000000000005,0.9990314626805593,-0.13734,-0.13734,-9.81,0.1,-9.81,0.7
0.015000000000000006,0.015000000000000006,0.9988892176795603,-0.14715,-0.14715,-9.81,0.1,-9.81,0.7
0.016000000000000007,0.016000000000000007,0.9987371626792274,-0.15696000000000002,-0.15696000000000002,-9.81,0.1,-9.81,0.7
0.017000000000000008,0.017000000000000008,0.9985752976791165,-0.16677000000000003,-0.16677000000000003,-9.81,0.1,-9.81,0.7
0.01800000000000001,0.01800000000000001,0.9984036226790794,-0.17658000000000004,-0.17658000000000004,-9.81,0.1,-9.81,0.7
0.01900000000000001,0.01900000000000001,0.9982221376790671,-0.18639000000000006,-0.18639000000000006,-9.81,0.1,-9.81,0.7
0.02000000000000001,0.02000000000000001,0.998030842679063,-0.19620000000000007,-0.19620000000000007,-9.81,0.1,-9.81,0.7
0.02100000000000001,0.02100000000000001,0.9978297376790616,-0.20601000000000008,-0.20601000000000008,-9.81,0.1,-9.81,0.7
0.022000000000000013,0.022000000000000013,0.997618822679061,-0.2158200000000001,-0.2158200000000001,-9.81,0.1,-9.81,0.7
0.023000000000000013,0.023000000000000013,0.9973980976790608,-0.2256300000000001,-0.2256300000000001,-9.81,0.1,-9.81,0.7
0.024000000000000014,0.024000000000000014,0.9971675626790608,-0.23544000000000012,-0.23544000000000012,-9.81,0.1,-9.81,0.7
0.025000000000000015,0.025000000000000015,0.9969272176790608,-0.2452500000000001,-0.2452500000000001,-9.81,0.1,-9.81,0.7
0.026000000000000016,0.026000000000000016,0.9966770626790608,-0.2550600000000001,-0.2550600000000001,-9.81,0.1,-9.81,0.7
0.027000000000000017,0.027000000000000017,0.9964170976790607,-0.2648700000000001,-0.2648700000000001,-9.81,0.1,-9.81,0.7
0.028000000000000018,0.028000000000000018,0.9961473226790607,-0.2746800000000001,-0.2746800000000001,-9.81,0.1,-9.81,0.7
0.02900000000000002,0.02900000000000002,0.9958677376790607,-0.2844900000000001,-0.2844900000000001,-9.81,0.1,-9.81,0.7
0.03000000000000002,0.03000000000000002,0.9955783426790606,-0.29430000000000006,-0.29430000000000006,-9.81,0.1,-9.81,0.7
0.03100000000000002,0.03100000000000002,0.9952791376790606,-0.30411000000000005,-0.30411000000000005,-9.81,0.1,-9.81,0.7
0.03200000000000002,0.03200000000000002,0.9949701226790606,-0.31392000000000003,-0.31392000000000003,-9.81,0.1,-9.81,0.7
0.03300000000000002,0.03300000000000002,0.9946512976790606,-0.32373,-0.32373,-9.81,0.1,-9.81,0.7
0.03400000000000002,0.03400000000000002,0.9943226626790606,-0.33354,-0.33354,-9.81,0.1,-9.81,0.7
0.035000000000000024,0.035000000000000024,0.9939842176790605,-0.34335,-0.34335,-9.81,0.1,-9.81,0.7
0.036000000000000025,0.036000000000000025,0.9936359626790605,-0.35316,-0.35316,-9.81,0.1,-9.81,0.7
0.037000000000000026,0.037000000000000026,0.9932778976790606,-0.36296999999999996,-0.36296999999999996,-9.81,0.1,-9.81,0.7
