"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.h","system.fmu.der(h)","system.fmu.v","system.fmu.der(v)","system.fmu.v_min","system.fmu.g","system.fmu.e"
0, 1.5e-05, 1.59e-06, 0, 1, 0, 0, -9.81, 0.1, -9.81, 0.7
0.001, 1.857e-05, 2.9e-06, 0.001, 1, -0.00981, -0.00981, -9.81, 0.1, -9.81, 0.7
0.002, 2.601e-05, 3.51e-06, 0.002, 0.99999019, -0.01962, -0.01962, -9.81, 0.1, -9.81, 0.7
0.003, 3.165e-05, 4.01e-06, 0.003, 0.99997057, -0.02943, -0.02943, -9.81, 0.1, -9.81, 0.7
0.004, 3.6399e-05, 4.511e-06, 0.004, 0.99994114, -0.03924, -0.03924, -9.81, 0.1, -9.81, 0.7
0.005, 4.137e-05, 5.081e-06, 0.005, 0.9999019, -0.04905, -0.04905, -9.81, 0.1, -9.81, 0.7
0.006, 4.605e-05, 5.651e-06, 0.006, 0.99985285, -0.05886, -0.05886, -9.81, 0.1, -9.81, 0.7
0.007, 5.0711e-05, 6.152e-06, 0.007, 0.99979399, -0.06867, -0.06867, -9.81, 0.1, -9.81, 0.7
0.008, 5.5761e-05, 6.663e-06, 0.008, 0.99972532, -0.07848, -0.07848, -9.81, 0.1, -9.81, 0.7
0.009, 6.1061e-05, 7.172e-06, 0.009, 0.99964684, -0.08829, -0.08829, -9.81, 0.1, -9.81, 0.7
0.01, 6.5711e-05, 7.671e-06, 0.01, 0.99955855, -0.0981, -0.0981, -9.81, 0.1, -9.81, 0.7
0.011, 7.1201e-05, 8.182e-06, 0.011, 0.99946045, -0.10791, -0.10791, -9.81, 0.1, -9.81, 0.7
0.012, 7.6001e-05, 8.682e-06, 0.012, 0.99935254, -0.11772, -0.11772, -9.81, 0.1, -9.81, 0.7
0.013, 8.1401e-05, 9.192e-06, 0.013, 0.99923482, -0.12753, -0.12753, -9.81, 0.1, -9.81, 0.7
0.014, 8.698e-05, 9.672e-06, 0.014, 0.99910729, -0.13734, -0.13734, -9.81, 0.1, -9.81, 0.7
0.015, 9.166e-05, 1.0182e-05, 0.015, 0.99896995, -0.14715, -0.14715, -9.81, 0.1, -9.81, 0.7
0.016, 9.711e-05, 1.0682e-05, 0.016, 0.9988228, -0.15696, -0.15696, -9.81, 0.1, -9.81, 0.7
0.017, 0.000102679, 1.1201e-05, 0.017, 0.99866584, -0.16677, -0.16677, -9.81, 0.1, -9.81, 0.7
0.018, 0.000107448, 1.171e-05, 0.018, 0.99849907, -0.17658, -0.17658, -9.81, 0.1, -9.81, 0.7
0.019, 0.000112978, 1.221e-05, 0.019, 0.99832249, -0.18639, -0.18639, -9.81, 0.1, -9.81, 0.7
0.02, 0.000118428, 1.2711e-05, 0.02, 0.9981361, -0.1962, -0.1962, -9.81, 0.1, -9.81, 0.7
0.021, 0.000123159, 1.3211e-05, 0.021, 0.9979399, -0.20601, -0.20601, -9.81, 0.1, -9.81, 0.7
0.022, 0.00012849, 1.3723e-05, 0.022, 0.99773389, -0.21582, -0.21582, -9.81, 0.1, -9.81, 0.7
0.023, 0.000133941, 1.4224e-05, 0.023, 0.99751807, -0.22563, -0.22563, -9.81, 0.1, -9.81, 0.7
0.024, 0.000139021, 1.4725e-05, 0.024, 0.99729244, -0.23544, -0.23544, -9.81, 0.1, -9.81, 0.7
0.025, 0.000144441, 1.5215e-05, 0.025, 0.997057, -0.24525, -0.24525, -9.81, 0.1, -9.81, 0.7
0.026, 0.000150011, 1.5715e-05, 0.026, 0.99681175, -0.25506, -0.25506, -9.81, 0.1, -9.81, 0.7
0.027, 0.000155101, 1.6225e-05, 0.027, 0.99655669, -0.26487, -0.26487, -9.81, 0.1, -9.81, 0.7
0.028, 0.000160421, 1.6705e-05, 0.028, 0.99629182, -0.27468, -0.27468, -9.81, 0.1, -9.81, 0.7
0.029, 0.000165991, 1.7215e-05, 0.029, 0.99601714, -0.28449, -0.28449, -9.81, 0.1, -9.81, 0.7
0.03, 0.000171061, 1.7705e-05, 0.03, 0.99573265, -0.2943, -0.2943, -9.81, 0.1, -9.81, 0.7
0.031, 0.000176531, 1.8216e-05, 0.031, 0.99543835, -0.30411, -0.30411, -9.81, 0.1, -9.81, 0.7
0.032, 0.000181561, 1.8715e-05, 0.032, 0.99513424, -0.31392, -0.31392, -9.81, 0.1, -9.81, 0.7
0.033, 0.000186851, 1.9214e-05, 0.033, 0.99482032, -0.32373, -0.32373, -9.81, 0.1, -9.81, 0.7
0.034, 0.000192391, 1.9725e-05, 0.034, 0.99449659, -0.33354, -0.33354, -9.81, 0.1, -9.81, 0.7
0.035, 0.000197511, 2.0226e-05, 0.035, 0.99416305, -0.34335, -0.34335, -9.81, 0.1, -9.81, 0.7
0.036, 0.000202782, 2.0714e-05, 0.036, 0.9938197, -0.35316, -0.35316, -9.81, 0.1, -9.81, 0.7
0.037, 0.000208132, 2.1214e-05, 0.037, 0.99346654, -0.36297, -0.36297, -9.81, 0.1, -9.81, 0.7
0.038, 0.000212652, 2.1713e-05, 0.038, 0.99310357, -0.37278, -0.37278, -9.81, 0.1, -9.81, 0.7
0.039, 0.000217832, 2.2205e-05, 0.039, 0.99273079, -0.38259, -0.38259, -9.81, 0.1, -9.81, 0.7
0.04, 0.000223323, 2.2695e-05, 0.04, 0.9923482, -0.3924, -0.3924, -9.81, 0.1, -9.81, 0.7
0.041, 0.000228053, 2.3205e-05, 0.041, 0.9919558, -0.40221, -0.40221, -9.81, 0.1, -9.81, 0.7
0.042, 0.000233403, 2.3715e-05, 0.042, 0.99155359, -0.41202, -0.41202, -9.81, 0.1, -9.81, 0.7
0.043, 0.000243273, 2.4215e-05, 0.043, 0.99114157, -0.42183, -0.42183, -9.81, 0.1, -9.81, 0.7
0.044, 0.000249093, 2.4726e-05, 0.044, 0.99071974, -0.43164, -0.43164, -9.81, 0.1, -9.81, 0.7
0.045, 0.000254203, 2.5214e-05, 0.045, 0.9902881, -0.44145, -0.44145, -9.81, 0.1, -9.81, 0.7
0.046, 0.000259333, 2.5725e-05, 0.046, 0.98984665, -0.45126, -0.45126, -9.81, 0.1, -9.81, 0.7
0.047, 0.000264673, 2.6215e-05, 0.047, 0.98939539, -0.46107, -0.46107, -9.81, 0.1, -9.81, 0.7
0.048, 0.000269513, 2.6724e-05, 0.048, 0.98893432, -0.47088, -0.47088, -9.81, 0.1, -9.81, 0.7
0.049, 0.000274812, 2.7225e-05, 0.049, 0.98846344, -0.48069, -0.48069, -9.81, 0.1, -9.81, 0.7
0.05, 0.000280293, 2.7714e-05, 0.05, 0.98798275, -0.4905, -0.4905, -9.81, 0.1, -9.81, 0.7
0.051, 0.000285013, 2.8223e-05, 0.051, 0.98749225, -0.50031, -0.50031, -9.81, 0.1, -9.81, 0.7
0.052, 0.000290392, 2.8723e-05, 0.052, 0.98699194, -0.51012, -0.51012, -9.81, 0.1, -9.81, 0.7
0.053, 0.000295873, 2.9222e-05, 0.053, 0.98648182, -0.51993, -0.51993, -9.81, 0.1, -9.81, 0.7
0.054, 0.000300473, 2.9722e-05, 0.054, 0.98596189, -0.52974, -0.52974, -9.81, 0.1, -9.81, 0.7
0.055, 0.000305883, 3.0222e-05, 0.055, 0.98543215, -0.53955, -0.53955, -9.81, 0.1, -9.81, 0.7
0.056, 0.000311603, 3.0732e-05, 0.056, 0.9848926, -0.54936, -0.54936, -9.81, 0.1, -9.81, 0.7
0.057, 0.000316323, 3.1232e-05, 0.057, 0.98434324, -0.55917, -0.55917, -9.81, 0.1, -9.81, 0.7
0.058, 0.000321723, 3.1742e-05, 0.058, 0.98378407, -0.56898, -0.56898, -9.81, 0.1, -9.81, 0.7
0.059, 0.000327253, 3.2241e-05, 0.059, 0.98321509, -0.57879, -0.57879, -9.81, 0.1, -9.81, 0.7
0.06, 0.000331773, 3.274e-05, 0.06, 0.9826363, -0.5886, -0.5886, -9.81, 0.1, -9.81, 0.7
0.061, 0.000337303, 3.323e-05, 0.061, 0.9820477, -0.59841, -0.59841, -9.81, 0.1, -9.81, 0.7
0.062, 0.000342614, 3.3731e-05, 0.062, 0.98144929, -0.60822, -0.60822, -9.81, 0.1, -9.81, 0.7
0.063, 0.000347395, 3.4231e-05, 0.063, 0.98084107, -0.61803, -0.61803, -9.81, 0.1, -9.81, 0.7
0.064, 0.000352865, 3.4733e-05, 0.064, 0.98022304, -0.62784, -0.62784, -9.81, 0.1, -9.81, 0.7
0.065, 0.000358676, 3.5223e-05, 0.065, 0.9795952, -0.63765, -0.63765, -9.81, 0.1, -9.81, 0.7
0.066, 0.000363927, 3.5736e-05, 0.066, 0.97895755, -0.64746, -0.64746, -9.81, 0.1, -9.81, 0.7
0.067, 0.000369236, 3.6246e-05, 0.067, 0.97831009, -0.65727, -0.65727, -9.81, 0.1, -9.81, 0.7
0.068, 0.000374576, 3.6756e-05, 0.068, 0.97765282, -0.66708, -0.66708, -9.81, 0.1, -9.81, 0.7
0.069, 0.000379066, 3.7266e-05, 0.069, 0.97698574, -0.67689, -0.67689, -9.81, 0.1, -9.81, 0.7
0.07, 0.000393056, 3.7776e-05, 0.07, 0.97630885, -0.6867, -0.6867, -9.81, 0.1, -9.81, 0.7
0.071, 0.000397956, 3.8306e-05, 0.071, 0.97562215, -0.69651, -0.69651, -9.81, 0.1, -9.81, 0.7
0.072, 0.000402706, 3.8817e-05, 0.072, 0.97492564, -0.70632, -0.70632, -9.81, 0.1, -9.81, 0.7
0.073, 0.000407956, 3.9307e-05, 0.073, 0.97421932, -0.71613, -0.71613, -9.81, 0.1, -9.81, 0.7
0.074, 0.000413486, 3.9825e-05, 0.074, 0.97350319, -0.72594, -0.72594, -9.81, 0.1, -9.81, 0.7
0.075, 0.000418006, 4.0335e-05, 0.075, 0.97277725, -0.73575, -0.73575, -9.81, 0.1, -9.81, 0.7
0.076, 0.000423507, 4.0845e-05, 0.076, 0.9720415, -0.74556, -0.74556, -9.81, 0.1, -9.81, 0.7
0.077, 0.000428928, 4.1333e-05, 0.077, 0.97129594, -0.75537, -0.75537, -9.81, 0.1, -9.81, 0.7
0.078, 0.000433458, 4.1834e-05, 0.078, 0.97054057, -0.76518, -0.76518, -9.81, 0.1, -9.81, 0.7
0.079, 0.000438868, 4.2335e-05, 0.079, 0.96977539, -0.77499, -0.77499, -9.81, 0.1, -9.81, 0.7
0.08, 0.000444228, 4.2846e-05, 0.08, 0.9690004, -0.7848, -0.7848, -9.81, 0.1, -9.81, 0.7
0.081, 0.000449378, 4.3346e-05, 0.081, 0.9682156, -0.79461, -0.79461, -9.81, 0.1, -9.81, 0.7
0.082, 0.000454548, 4.3856e-05, 0.082, 0.96742099, -0.80442, -0.80442, -9.81, 0.1, -9.81, 0.7
0.083, 0.000460118, 4.4366e-05, 0.083, 0.96661657, -0.81423, -0.81423, -9.81, 0.1, -9.81, 0.7
0.084, 0.000465078, 4.4866e-05, 0.084, 0.96580234, -0.82404, -0.82404, -9.81, 0.1, -9.81, 0.7
0.085, 0.000470128, 4.5376e-05, 0.085, 0.9649783, -0.83385, -0.83385, -9.81, 0.1, -9.81, 0.7
0.086, 0.000474918, 4.5856e-05, 0.086, 0.96414445, -0.84366, -0.84366, -9.81, 0.1, -9.81, 0.7
0.087, 0.000488967, 4.6356e-05, 0.087, 0.96330079, -0.85347, -0.85347, -9.81, 0.1, -9.81, 0.7
0.088, 0.000493638, 4.6867e-05, 0.088, 0.96244732, -0.86328, -0.86328, -9.81, 0.1, -9.81, 0.7
0.089, 0.000498659, 4.7355e-05, 0.089, 0.96158404, -0.87309, -0.87309, -9.81, 0.1, -9.81, 0.7
0.09, 0.000503438, 4.7856e-05, 0.09, 0.96071095, -0.8829, -0.8829, -9.81, 0.1, -9.81, 0.7
0.091, 0.000509099, 4.8357e-05, 0.091, 0.95982805, -0.89271, -0.89271, -9.81, 0.1, -9.81, 0.7
0.092, 0.000514899, 4.8857e-05, 0.092, 0.95893534, -0.90252, -0.90252, -9.81, 0.1, -9.81, 0.7
0.093, 0.00051968, 4.9365e-05, 0.093, 0.95803282, -0.91233, -0.91233, -9.81, 0.1, -9.81, 0.7
0.094, 0.00052521, 4.9875e-05, 0.094, 0.95712049, -0.92214, -0.92214, -9.81, 0.1, -9.81, 0.7
0.095, 0.00052981, 5.0365e-05, 0.095, 0.95619835, -0.93195, -0.93195, -9.81, 0.1, -9.81, 0.7
0.096, 0.00053523, 5.0865e-05, 0.096, 0.9552664, -0.94176, -0.94176, -9.81, 0.1, -9.81, 0.7
0.097, 0.00054063, 5.1365e-05, 0.097, 0.95432464, -0.95157, -0.95157, -9.81, 0.1, -9.81, 0.7
0.098, 0.00054518, 5.1865e-05, 0.098, 0.95337307, -0.96138, -0.96138, -9.81, 0.1, -9.81, 0.7
0.099, 0.00055052, 5.2355e-05, 0.099, 0.95241169, -0.97119, -0.97119, -9.81, 0.1, -9.81, 0.7
0.1, 0.00055604, 5.2856e-05, 0.1, 0.9514405, -0.981, -0.981, -9.81, 0.1, -9.81, 0.7
0.101, 0.00056105, 5.3337e-05, 0.101, 0.9504595, -0.99081, -0.99081, -9.81, 0.1, -9.81, 0.7
0.102, 0.00056646, 5.3826e-05, 0.102, 0.94946869, -1.00062, -1.00062, -9.81, 0.1, -9.81, 0.7
0.103, 0.00057194, 5.4315e-05, 0.103, 0.94846807, -1.01043, -1.01043, -9.81, 0.1, -9.81, 0.7
0.104, 0.000577011, 5.4815e-05, 0.104, 0.94745764, -1.02024, -1.02024, -9.81, 0.1, -9.81, 0.7
0.105, 0.000582211, 5.5305e-05, 0.105, 0.9464374, -1.03005, -1.03005, -9.81, 0.1, -9.81, 0.7
0.106, 0.00058704, 5.5796e-05, 0.106, 0.94540735, -1.03986, -1.03986, -9.81, 0.1, -9.81, 0.7
0.107, 0.00059215, 5.6296e-05, 0.107, 0.94436749, -1.04967, -1.04967, -9.81, 0.1, -9.81, 0.7
0.108, 0.00059755, 5.6806e-05, 0.108, 0.94331782, -1.05948, -1.05948, -9.81, 0.1, -9.81, 0.7
0.109, 0.000602491, 5.7316e-05, 0.109, 0.94225834, -1.06929, -1.06929, -9.81, 0.1, -9.81, 0.7
0.11, 0.000607711, 5.7826e-05, 0.11, 0.94118905, -1.0791, -1.0791, -9.81, 0.1, -9.81, 0.7
0.111, 0.000613171, 5.8326e-05, 0.111, 0.94010995, -1.08891, -1.08891, -9.81, 0.1, -9.81, 0.7
0.112, 0.000617831, 5.8816e-05, 0.112, 0.93902104, -1.09872, -1.09872, -9.81, 0.1, -9.81, 0.7
0.113, 0.000623131, 5.9316e-05, 0.113, 0.93792232, -1.10853, -1.10853, -9.81, 0.1, -9.81, 0.7
0.114, 0.000628591, 5.9807e-05, 0.114, 0.93681379, -1.11834, -1.11834, -9.81, 0.1, -9.81, 0.7
0.115, 0.000633131, 6.0308e-05, 0.115, 0.93569545, -1.12815, -1.12815, -9.81, 0.1, -9.81, 0.7
0.116, 0.000638552, 6.0798e-05, 0.116, 0.9345673, -1.13796, -1.13796, -9.81, 0.1, -9.81, 0.7
0.117, 0.000643992, 6.1301e-05, 0.117, 0.93342934, -1.14777, -1.14777, -9.81, 0.1, -9.81, 0.7
0.118, 0.000648922, 6.1801e-05, 0.118, 0.93228157, -1.15758, -1.15758, -9.81, 0.1, -9.81, 0.7
0.119, 0.000654122, 6.2288e-05, 0.119, 0.93112399, -1.16739, -1.16739, -9.81, 0.1, -9.81, 0.7
0.12, 0.000659221, 6.2788e-05, 0.12, 0.9299566, -1.1772, -1.1772, -9.81, 0.1, -9.81, 0.7
0.121, 0.000664321, 6.3299e-05, 0.121, 0.9287794, -1.18701, -1.18701, -9.81, 0.1, -9.81, 0.7
0.122, 0.00066991, 6.3799e-05, 0.122, 0.92759239, -1.19682, -1.19682, -9.81, 0.1, -9.81, 0.7
0.123, 0.000674701, 6.4309e-05, 0.123, 0.92639557, -1.20663, -1.20663, -9.81, 0.1, -9.81, 0.7
0.124, 0.000679981, 6.4799e-05, 0.124, 0.92518894, -1.21644, -1.21644, -9.81, 0.1, -9.81, 0.7
0.125, 0.000685381, 6.5299e-05, 0.125, 0.9239725, -1.22625, -1.22625, -9.81, 0.1, -9.81, 0.7
0.126, 0.000690601, 6.5799e-05, 0.126, 0.92274625, -1.23606, -1.23606, -9.81, 0.1, -9.81, 0.7
0.127, 0.000695781, 6.6309e-05, 0.127, 0.92151019, -1.24587, -1.24587, -9.81, 0.1, -9.81, 0.7
0.128, 0.000701211, 6.6809e-05, 0.128, 0.92026432, -1.25568, -1.25568, -9.81, 0.1, -9.81, 0.7
0.129, 0.000705731, 6.7308e-05, 0.129, 0.91900864, -1.26549, -1.26549, -9.81, 0.1, -9.81, 0.7
0.13, 0.000711111, 6.7828e-05, 0.13, 0.91774315, -1.2753, -1.2753, -9.81, 0.1, -9.81, 0.7
0.131, 0.000719812, 6.8326e-05, 0.131, 0.91646785, -1.28511, -1.28511, -9.81, 0.1, -9.81, 0.7
0.132, 0.000725692, 6.8837e-05, 0.132, 0.91518274, -1.29492, -1.29492, -9.81, 0.1, -9.81, 0.7
0.133, 0.000730362, 6.9336e-05, 0.133, 0.91388782, -1.30473, -1.30473, -9.81, 0.1, -9.81, 0.7
0.134, 0.000735753, 6.9826e-05, 0.134, 0.91258309, -1.31454, -1.31454, -9.81, 0.1, -9.81, 0.7
0.135, 0.000741003, 7.0295e-05, 0.135, 0.91126855, -1.32435, -1.32435, -9.81, 0.1, -9.81, 0.7
0.136, 0.000745623, 7.0795e-05, 0.136, 0.9099442, -1.33416, -1.33416, -9.81, 0.1, -9.81, 0.7
0.137, 0.000750933, 7.1286e-05, 0.137, 0.90861004, -1.34397, -1.34397, -9.81, 0.1, -9.81, 0.7
0.138, 0.000756263, 7.1786e-05, 0.138, 0.90726607, -1.35378, -1.35378, -9.81, 0.1, -9.81, 0.7
0.139, 0.000760813, 7.2296e-05, 0.139, 0.90591229, -1.36359, -1.36359, -9.81, 0.1, -9.81, 0.7
0.14, 0.000765833, 7.2776e-05, 0.14, 0.9045487, -1.3734, -1.3734, -9.81, 0.1, -9.81, 0.7
0.141, 0.000770803, 7.3286e-05, 0.141, 0.9031753, -1.38321, -1.38321, -9.81, 0.1, -9.81, 0.7
0.142, 0.000775903, 7.3796e-05, 0.142, 0.90179209, -1.39302, -1.39302, -9.81, 0.1, -9.81, 0.7
0.143, 0.000781273, 7.4306e-05, 0.143, 0.90039907, -1.40283, -1.40283, -9.81, 0.1, -9.81, 0.7
0.144, 0.000785883, 7.4816e-05, 0.144, 0.89899624, -1.41264, -1.41264, -9.81, 0.1, -9.81, 0.7
0.145, 0.000791123, 7.5325e-05, 0.145, 0.8975836, -1.42245, -1.42245, -9.81, 0.1, -9.81, 0.7
0.146, 0.000796343, 7.5825e-05, 0.146, 0.89616115, -1.43226, -1.43226, -9.81, 0.1, -9.81, 0.7
0.147, 0.000800894, 7.6325e-05, 0.147, 0.89472889, -1.44207, -1.44207, -9.81, 0.1, -9.81, 0.7
0.148, 0.000806184, 7.6834e-05, 0.148, 0.89328682, -1.45188, -1.45188, -9.81, 0.1, -9.81, 0.7
0.149, 0.000811864, 7.7336e-05, 0.149, 0.89183494, -1.46169, -1.46169, -9.81, 0.1, -9.81, 0.7
0.15, 0.000817053, 7.7846e-05, 0.15, 0.89037325, -1.4715, -1.4715, -9.81, 0.1, -9.81, 0.7
0.151, 0.000822234, 7.8346e-05, 0.151, 0.88890175, -1.48131, -1.48131, -9.81, 0.1, -9.81, 0.7
0.152, 0.000827804, 7.8866e-05, 0.152, 0.88742044, -1.49112, -1.49112, -9.81, 0.1, -9.81, 0.7
0.153, 0.000832704, 7.9366e-05, 0.153, 0.88592932, -1.50093, -1.50093, -9.81, 0.1, -9.81, 0.7
0.154, 0.000837874, 7.9866e-05, 0.154, 0.88442839, -1.51074, -1.51074, -9.81, 0.1, -9.81, 0.7
0.155, 0.000842854, 8.0386e-05, 0.155, 0.88291765, -1.52055, -1.52055, -9.81, 0.1, -9.81, 0.7
0.156, 0.000847924, 8.0886e-05, 0.156, 0.8813971, -1.53036, -1.53036, -9.81, 0.1, -9.81, 0.7
0.157, 0.000853274, 8.1386e-05, 0.157, 0.87986674, -1.54017, -1.54017, -9.81, 0.1, -9.81, 0.7
0.158, 0.000858014, 8.1877e-05, 0.158, 0.87832657, -1.54998, -1.54998, -9.81, 0.1, -9.81, 0.7
0.159, 0.000863555, 8.2376e-05, 0.159, 0.87677659, -1.55979, -1.55979, -9.81, 0.1, -9.81, 0.7
0.16, 0.000868875, 8.2887e-05, 0.16, 0.8752168, -1.5696, -1.5696, -9.81, 0.1, -9.81, 0.7
0.161, 0.000873595, 8.3396e-05, 0.161, 0.8736472, -1.57941, -1.57941, -9.81, 0.1, -9.81, 0.7
0.162, 0.000879025, 8.3898e-05, 0.162, 0.87206779, -1.58922, -1.58922, -9.81, 0.1, -9.81, 0.7
0.163, 0.000884405, 8.4386e-05, 0.163, 0.87047857, -1.59903, -1.59903, -9.81, 0.1, -9.81, 0.7
0.164, 0.000889205, 8.4887e-05, 0.164, 0.86887954, -1.60884, -1.60884, -9.81, 0.1, -9.81, 0.7
0.165, 0.000894416, 8.5408e-05, 0.165, 0.8672707, -1.61865, -1.61865, -9.81, 0.1, -9.81, 0.7
0.166, 0.000899296, 8.5899e-05, 0.166, 0.86565205, -1.62846, -1.62846, -9.81, 0.1, -9.81, 0.7
0.167, 0.000904407, 8.6389e-05, 0.167, 0.86402359, -1.63827, -1.63827, -9.81, 0.1, -9.81, 0.7
0.168, 0.000909717, 8.6899e-05, 0.168, 0.86238532, -1.64808, -1.64808, -9.81, 0.1, -9.81, 0.7
0.169, 0.000914207, 8.7399e-05, 0.169, 0.86073724, -1.65789, -1.65789, -9.81, 0.1, -9.81, 0.7
0.17, 0.000919437, 8.7889e-05, 0.17, 0.85907935, -1.6677, -1.6677, -9.81, 0.1, -9.81, 0.7
0.171, 0.000924957, 8.8399e-05, 0.171, 0.85741165, -1.67751, -1.67751, -9.81, 0.1, -9.81, 0.7
0.172, 0.000929457, 8.8899e-05, 0.172, 0.85573414, -1.68732, -1.68732, -9.81, 0.1, -9.81, 0.7
0.173, 0.000934868, 8.9399e-05, 0.173, 0.85404682, -1.69713, -1.69713, -9.81, 0.1, -9.81, 0.7
0.174, 0.000939479, 8.9898e-05, 0.174, 0.85234969, -1.70694, -1.70694, -9.81, 0.1, -9.81, 0.7
0.175, 0.000949188, 9.0409e-05, 0.175, 0.85064275, -1.71675, -1.71675, -9.81, 0.1, -9.81, 0.7
0.176, 0.000954108, 9.0919e-05, 0.176, 0.848926, -1.72656, -1.72656, -9.81, 0.1, -9.81, 0.7
0.177, 0.000959489, 9.142e-05, 0.177, 0.84719944, -1.73637, -1.73637, -9.81, 0.1, -9.81, 0.7
0.178, 0.000964209, 9.2031e-05, 0.178, 0.84546307, -1.74618, -1.74618, -9.81, 0.1, -9.81, 0.7
0.179, 0.000969538, 9.2532e-05, 0.179, 0.84371689, -1.75599, -1.75599, -9.81, 0.1, -9.81, 0.7
0.18, 0.000974478, 9.3033e-05, 0.18, 0.8419609, -1.7658, -1.7658, -9.81, 0.1, -9.81, 0.7
0.181, 0.000979739, 9.3532e-05, 0.181, 0.8401951, -1.77561, -1.77561, -9.81, 0.1, -9.81, 0.7
0.182, 0.000985049, 9.4022e-05, 0.182, 0.83841949, -1.78542, -1.78542, -9.81, 0.1, -9.81, 0.7
0.183, 0.000989669, 9.4532e-05, 0.183, 0.83663407, -1.79523, -1.79523, -9.81, 0.1, -9.81, 0.7
0.184, 0.000994899, 9.5022e-05, 0.184, 0.83483884, -1.80504, -1.80504, -9.81, 0.1, -9.81, 0.7
0.185, 0.001000239, 9.5512e-05, 0.185, 0.8330338, -1.81485, -1.81485, -9.81, 0.1, -9.81, 0.7
0.186, 0.001004929, 9.6032e-05, 0.186, 0.83121895, -1.82466, -1.82466, -9.81, 0.1, -9.81, 0.7
0.187, 0.00101024, 9.6532e-05, 0.187, 0.82939429, -1.83447, -1.83447, -9.81, 0.1, -9.81, 0.7
0.188, 0.00101578, 9.7041e-05, 0.188, 0.82755982, -1.84428, -1.84428, -9.81, 0.1, -9.81, 0.7
0.189, 0.00102074, 9.7539e-05, 0.189, 0.82571554, -1.85409, -1.85409, -9.81, 0.1, -9.81, 0.7
0.19, 0.00102575, 9.8038e-05, 0.19, 0.82386145, -1.8639, -1.8639, -9.81, 0.1, -9.81, 0.7
0.191, 0.001030849, 9.853e-05, 0.191, 0.82199755, -1.87371, -1.87371, -9.81, 0.1, -9.81, 0.7
0.192, 0.00103588, 9.9019e-05, 0.192, 0.82012384, -1.88352, -1.88352, -9.81, 0.1, -9.81, 0.7
0.193, 0.0010412, 9.9529e-05, 0.193, 0.81824032, -1.89333, -1.89333, -9.81, 0.1, -9.81, 0.7
0.194, 0.0010459, 0.000100039, 0.194, 0.81634699, -1.90314, -1.90314, -9.81, 0.1, -9.81, 0.7
0.195, 0.001051159, 0.00010054, 0.195, 0.81444385, -1.91295, -1.91295, -9.81, 0.1, -9.81, 0.7
0.196, 0.001056669, 0.000101041, 0.196, 0.8125309, -1.92276, -1.92276, -9.81, 0.1, -9.81, 0.7
0.197, 0.001061379, 0.000101551, 0.197, 0.81060814, -1.93257, -1.93257, -9.81, 0.1, -9.81, 0.7
0.198, 0.001066659, 0.000102041, 0.198, 0.80867557, -1.94238, -1.94238, -9.81, 0.1, -9.81, 0.7
0.199, 0.001072179, 0.000102541, 0.199, 0.80673319, -1.95219, -1.95219, -9.81, 0.1, -9.81, 0.7
0.2, 0.001076809, 0.000103061, 0.2, 0.804781, -1.962, -1.962, -9.81, 0.1, -9.81, 0.7
0.201, 0.001082199, 0.000103541, 0.201, 0.802819, -1.97181, -1.97181, -9.81, 0.1, -9.81, 0.7
0.202, 0.001087839, 0.000104031, 0.202, 0.80084719, -1.98162, -1.98162, -9.81, 0.1, -9.81, 0.7
0.203, 0.0010929, 0.000104541, 0.203, 0.79886557, -1.99143, -1.99143, -9.81, 0.1, -9.81, 0.7
0.204, 0.00109793, 0.00010505, 0.204, 0.79687414, -2.00124, -2.00124, -9.81, 0.1, -9.81, 0.7
0.205, 0.00110375, 0.000105541, 0.205, 0.7948729, -2.01105, -2.01105, -9.81, 0.1, -9.81, 0.7
0.206, 0.001108961, 0.00010603, 0.206, 0.79286185, -2.02086, -2.02086, -9.81, 0.1, -9.81, 0.7
0.207, 0.001114142, 0.000106519, 0.207, 0.79084099, -2.03067, -2.03067, -9.81, 0.1, -9.81, 0.7
0.208, 0.001118982, 0.000107019, 0.208, 0.78881032, -2.04048, -2.04048, -9.81, 0.1, -9.81, 0.7
0.209, 0.001123982, 0.000107508, 0.209, 0.78676984, -2.05029, -2.05029, -9.81, 0.1, -9.81, 0.7
0.21, 0.001129393, 0.000108017, 0.21, 0.78471955, -2.0601, -2.0601, -9.81, 0.1, -9.81, 0.7
0.211, 0.001134304, 0.000108506, 0.211, 0.78265945, -2.06991, -2.06991, -9.81, 0.1, -9.81, 0.7
0.212, 0.001139444, 0.000109006, 0.212, 0.78058954, -2.07972, -2.07972, -9.81, 0.1, -9.81, 0.7
0.213, 0.001144674, 0.000109506, 0.213, 0.77850982, -2.08953, -2.08953, -9.81, 0.1, -9.81, 0.7
0.214, 0.001149204, 0.000110006, 0.214, 0.77642029, -2.09934, -2.09934, -9.81, 0.1, -9.81, 0.7
0.215, 0.001154324, 0.000110526, 0.215, 0.77432095, -2.10915, -2.10915, -9.81, 0.1, -9.81, 0.7
0.216, 0.001159994, 0.000111016, 0.216, 0.7722118, -2.11896, -2.11896, -9.81, 0.1, -9.81, 0.7
0.217, 0.001164904, 0.000111525, 0.217, 0.77009284, -2.12877, -2.12877, -9.81, 0.1, -9.81, 0.7
