time,fmu.h,fmu.v
2.299, 0.015911, -0.052378
2.3, 0.015859, -0.062188
2.301, 0.015797, -0.071998
2.302, 0.015725, -0.081808
2.303, 0.015643, -0.091618
2.304, 0.015551, -0.101428
2.305, 0.015450, -0.111238
2.306, 0.015339, -0.121048
2.307, 0.015218, -0.130858
2.308, 0.015087, -0.140668
2.309, 0.014946, -0.150478
2.31, 0.014796, -0.160288
2.311, 0.014635, -0.170098
2.312, 0.014465, -0.179908
2.313, 0.014285, -0.189718
2.314, 0.014096, -0.199528
2.315, 0.013896, -0.209338
2.316, 0.013687, -0.219148
2.317, 0.013468, -0.228958
2.318, 0.013239, -0.238768
2.319, 0.013000, -0.248578
2.32, 0.012751, -0.258388
2.321, 0.012493, -0.268198
2.322, 0.012225, -0.278008
2.323, 0.011947, -0.287818
2.324, 0.011659, -0.297628
2.325, 0.011361, -0.307438
2.326, 0.011054, -0.317248
2.327, 0.010737, -0.327058
2.328, 0.010410, -0.336868
2.329, 0.010073, -0.346678
2.33, 0.009726, -0.356488
2.331, 0.009370, -0.366298
2.332, 0.009003, -0.376108
2.333, 0.008627, -0.385918
2.334, 0.008241, -0.395728
2.335, 0.007846, -0.405538
2.336, 0.007440, -0.415348
2.337, 0.007025, -0.425158
2.338, 0.006600, -0.434968
2.339, 0.006165, -0.444778
2.34, 0.005720, -0.454588
2.341, 0.005265, -0.464398
2.342, 0.004801, -0.474208
2.343, 0.004327, -0.484018
2.344, 0.003843, -0.493828
2.345, 0.003349, -0.503638
2.346, 0.002845, -0.513448
2.347, 0.002332, -0.523258
2.348, 0.001808, -0.533068
2.349, 0.001275, -0.542878
2.35, 0.000732, -0.552688
2.351, 0.000180, -0.562498
2.352, 0.000000, 0.400616
2.353, 0.000401, 0.390806
2.354, 0.000791, 0.380996
2.355, 0.001172, 0.371186
2.356, 0.001544, 0.361376
2.357, 0.001905, 0.351566
2.358, 0.002257, 0.341756
2.359, 0.002598, 0.331946
2.36, 0.002930, 0.322136
2.361, 0.003252, 0.312326
2.362, 0.003565, 0.302516
2.363, 0.003867, 0.292706
2.364, 0.004160, 0.282896
2.365, 0.004443, 0.273086
2.366, 0.004716, 0.263276
2.367, 0.004979, 0.253466
2.368, 0.005233, 0.243656
2.369, 0.005476, 0.233846
2.37, 0.005710, 0.224036
2.371, 0.005934, 0.214226
2.372, 0.006148, 0.204416
2.373, 0.006353, 0.194606
2.374, 0.006547, 0.184796
2.375, 0.006732, 0.174986
2.376, 0.006907, 0.165176
2.377, 0.007072, 0.155366
2.378, 0.007228, 0.145556
2.379, 0.007373, 0.135746
2.38, 0.007509, 0.125936
2.381, 0.007635, 0.116126
2.382, 0.007751, 0.106316
2.383, 0.007857, 0.096506
2.384, 0.007954, 0.086696
2.385, 0.008041, 0.076886
2.386, 0.008118, 0.067076
2.387, 0.008185, 0.057266
2.388, 0.008242, 0.047456
2.389, 0.008289, 0.037646
2.39, 0.008327, 0.027836
2.391, 0.008355, 0.018026
2.392, 0.008373, 0.008216
2.393, 0.008381, -0.001594
2.394, 0.008379, -0.011404
2.395, 0.008368, -0.021214
2.396, 0.008347, -0.031024
2.397, 0.008316, -0.040834
2.398, 0.008275, -0.050644
2.399, 0.008224, -0.060454
2.4, 0.008164, -0.070264
2.401, 0.008094, -0.080074
2.402, 0.008014, -0.089884
2.403, 0.007924, -0.099694
2.404, 0.007824, -0.109504
2.405, 0.007714, -0.119314
2.406, 0.007595, -0.129124
2.407, 0.007466, -0.138934
2.408, 0.007327, -0.148744
2.409, 0.007178, -0.158554
2.41, 0.007020, -0.168364
2.411, 0.006851, -0.178174
2.412, 0.006673, -0.187984
2.413, 0.006485, -0.197794
2.414, 0.006287, -0.207604
2.415, 0.006080, -0.217414
2.416, 0.005862, -0.227224
2.417, 0.005635, -0.237034
2.418, 0.005398, -0.246844
2.419, 0.005151, -0.256654
2.42, 0.004895, -0.266464
2.421, 0.004628, -0.276274
2.422, 0.004352, -0.286084
2.423, 0.004066, -0.295894
2.424, 0.003770, -0.305704
2.425, 0.003464, -0.315514
2.426, 0.003149, -0.325324
2.427, 0.002823, -0.335134
2.428, 0.002488, -0.344944
2.429, 0.002143, -0.354754
2.43, 0.001789, -0.364564
2.431, 0.001424, -0.374374
2.432, 0.001050, -0.384184
2.433, 0.000665, -0.393994
2.434, 0.000271, -0.403804
2.435, 0.000000, 0.289530
2.436, 0.000290, 0.279720
2.437, 0.000569, 0.269910
2.438, 0.000839, 0.260100
2.439, 0.001099, 0.250290
2.44, 0.001350, 0.240480
2.441, 0.001590, 0.230670
2.442, 0.001821, 0.220860
2.443, 0.002042, 0.211050
2.444, 0.002253, 0.201240
2.445, 0.002454, 0.191430
2.446, 0.002645, 0.181620
2.447, 0.002827, 0.171810
2.448, 0.002999, 0.162000
2.449, 0.003161, 0.152190
2.45, 0.003313, 0.142380
2.451, 0.003455, 0.132570
2.452, 0.003588, 0.122760
2.453, 0.003711, 0.112950
2.454, 0.003824, 0.103140
2.455, 0.003927, 0.093330
2.456, 0.004020, 0.083520
2.457, 0.004104, 0.073710
2.458, 0.004177, 0.063900
2.459, 0.004241, 0.054090
2.46, 0.004295, 0.044280
2.461, 0.004340, 0.034470
2.462, 0.004374, 0.024660
2.463, 0.004399, 0.014850
2.464, 0.004414, 0.005040
2.465, 0.004419, -0.004770
2.466, 0.004414, -0.014580
2.467, 0.004399, -0.024390
2.468, 0.004375, -0.034200
2.469, 0.004341, -0.044010
2.47, 0.004297, -0.053820
2.471, 0.004243, -0.063630
2.472, 0.004179, -0.073440
2.473, 0.004106, -0.083250
2.474, 0.004022, -0.093060
2.475, 0.003929, -0.102870
2.476, 0.003827, -0.112680
2.477, 0.003714, -0.122490
2.478, 0.003591, -0.132300
2.479, 0.003459, -0.142110
2.48, 0.003317, -0.151920
2.481, 0.003165, -0.161730
2.482, 0.003003, -0.171540
2.483, 0.002832, -0.181350
2.484, 0.002650, -0.191160
2.485, 0.002459, -0.200970
2.486, 0.002258, -0.210780
2.487, 0.002047, -0.220590
2.488, 0.001827, -0.230400
2.489, 0.001597, -0.240210
2.49, 0.001356, -0.250020
2.491, 0.001106, -0.259830
2.492, 0.000846, -0.269640
2.493, 0.000577, -0.279450
2.494, 0.000297, -0.289260
2.495, 0.000008, -0.299070
2.496, 0.000000, 0.216216
2.497, 0.000216, 0.206406
2.498, 0.000423, 0.196596
2.499, 0.000619, 0.186786
2.5, 0.000806, 0.176976
2.501, 0.000983, 0.167166
2.502, 0.001150, 0.157356
2.503, 0.001308, 0.147546
2.504, 0.001455, 0.137736
2.505, 0.001593, 0.127926
2.506, 0.001721, 0.118116
2.507, 0.001839, 0.108306
2.508, 0.001947, 0.098496
2.509, 0.002046, 0.088686
2.51, 0.002134, 0.078876
2.511, 0.002213, 0.069066
2.512, 0.002282, 0.059256
2.513, 0.002342, 0.049446
2.514, 0.002391, 0.039636
2.515, 0.002431, 0.029826
2.516, 0.002460, 0.020016
2.517, 0.002480, 0.010206
2.518, 0.002491, 0.000396
2.519, 0.002491, -0.009414
2.52, 0.002482, -0.019224
2.521, 0.002462, -0.029034
2.522, 0.002433, -0.038844
2.523, 0.002395, -0.048654
2.524, 0.002346, -0.058464
2.525, 0.002287, -0.068274
2.526, 0.002219, -0.078084
2.527, 0.002141, -0.087894
2.528, 0.002053, -0.097704
2.529, 0.001955, -0.107514
2.53, 0.001848, -0.117324
2.531, 0.001731, -0.127134
2.532, 0.001603, -0.136944
2.533, 0.001467, -0.146754
2.534, 0.001320, -0.156564
2.535, 0.001163, -0.166374
2.536, 0.000997, -0.176184
2.537, 0.000821, -0.185994
2.538, 0.000635, -0.195804
2.539, 0.000439, -0.205614
2.54, 0.000233, -0.215424
2.541, 0.000018, -0.225234
2.542, 0.000000, 0.164531
2.543, 0.000165, 0.154721
2.544, 0.000319, 0.144911
2.545, 0.000464, 0.135101
2.546, 0.000599, 0.125291
2.547, 0.000725, 0.115481
2.548, 0.000840, 0.105671
2.549, 0.000946, 0.095861
2.55, 0.001042, 0.086051
2.551, 0.001128, 0.076241
2.552, 0.001204, 0.066431
2.553, 0.001270, 0.056621
2.554, 0.001327, 0.046811
2.555, 0.001374, 0.037001
2.556, 0.001411, 0.027191
2.557, 0.001438, 0.017381
2.558, 0.001455, 0.007571
2.559, 0.001463, -0.002239
2.56, 0.001461, -0.012049
2.561, 0.001449, -0.021859
2.562, 0.001427, -0.031669
2.563, 0.001395, -0.041479
2.564, 0.001354, -0.051289
2.565, 0.001302, -0.061099
2.566, 0.001241, -0.070909
2.567, 0.001170, -0.080719
2.568, 0.001090, -0.090529
2.569, 0.000999, -0.100339
2.57, 0.000899, -0.110149
2.571, 0.000789, -0.119959
2.572, 0.000669, -0.129769
2.573, 0.000539, -0.139579
2.574, 0.000399, -0.149389
2.575, 0.000250, -0.159199
2.576, 0.000091, -0.169009
2.577, 0.000000, 0.125173
2.578, 0.000125, 0.115363
2.579, 0.000241, 0.105553
2.58, 0.000346, 0.095743
2.581, 0.000442, 0.085933
2.582, 0.000528, 0.076123
2.583, 0.000604, 0.066313
2.584, 0.000670, 0.056503
2.585, 0.000727, 0.046693
2.586, 0.000773, 0.036883
2.587, 0.000810, 0.027073
2.588, 0.000837, 0.017263
2.589, 0.000855, 0.007453
2.59, 0.000862, -0.002357
2.591, 0.000860, -0.012167
2.592, 0.000848, -0.021977
2.593, 0.000826, -0.031787
2.594, 0.000794, -0.041597
2.595, 0.000752, -0.051407
2.596, 0.000701, -0.061217
2.597, 0.000640, -0.071027
2.598, 0.000569, -0.080837
2.599, 0.000488, -0.090647
2.6, 0.000397, -0.100457
2.601, 0.000297, -0.110267
2.602, 0.000186, -0.120077
2.603, 0.000066, -0.129887
2.604, 0.000000, 0.000000
2.605, 0.000000, 0.000000
2.606, 0.000000, 0.000000
2.607, 0.000000, 0.000000
2.608, 0.000000, 0.000000
2.609, 0.000000, 0.000000
2.61, 0.000000, 0.000000
2.611, 0.000000, 0.000000
2.612, 0.000000, 0.000000
2.613, 0.000000, 0.000000
2.614, 0.000000, 0.000000
2.615, 0.000000, 0.000000
2.616, 0.000000, 0.000000
2.617, 0.000000, 0.000000
2.618, 0.000000, 0.000000
2.619, 0.000000, 0.000000
2.62, 0.000000, 0.000000
2.621, 0.000000, 0.000000
2.622, 0.000000, 0.000000
2.623, 0.000000, 0.000000
2.624, 0.000000, 0.000000
2.625, 0.000000, 0.000000
2.626, 0.000000, 0.000000
2.627, 0.000000, 0.000000
2.628, 0.000000, 0.000000
2.629, 0.000000, 0.000000
2.63, 0.000000, 0.000000
2.631, 0.000000, 0.000000
2.632, 0.000000, 0.000000
2.633, 0.000000, 0.000000
2.634, 0.000000, 0.000000
2.635, 0.000000, 0.000000
2.636, 0.000000, 0.000000
2.637, 0.000000, 0.000000
2.638, 0.000000, 0.000000
2.639, 0.000000, 0.000000
2.64, 0.000000, 0.000000
2.641, 0.000000, 0.000000
2.642, 0.000000, 0.000000
2.643, 0.000000, 0.000000
2.644, 0.000000, 0.000000
2.645, 0.000000, 0.000000
2.646, 0.000000, 0.000000
2.647, 0.000000, 0.000000
2.648, 0.000000, 0.000000
2.649, 0.000000, 0.000000
2.65, 0.000000, 0.000000
2.651, 0.000000, 0.000000
2.652, 0.000000, 0.000000
2.653, 0.000000, 0.000000
2.654, 0.000000, 0.000000
2.655, 0.000000, 0.000000
2.656, 0.000000, 0.000000
2.657, 0.000000, 0.000000
2.658, 0.000000, 0.000000
2.659, 0.000000, 0.000000
2.66, 0.000000, 0.000000
2.661, 0.000000, 0.000000
2.662, 0.000000, 0.000000
2.663, 0.000000, 0.000000
2.664, 0.000000, 0.000000
2.665, 0.000000, 0.000000
2.666, 0.000000, 0.000000
2.667, 0.000000, 0.000000
2.668, 0.000000, 0.000000
2.669, 0.000000, 0.000000
2.67, 0.000000, 0.000000
2.671, 0.000000, 0.000000
2.672, 0.000000, 0.000000
2.673, 0.000000, 0.000000
2.674, 0.000000, 0.000000
2.675, 0.000000, 0.000000
2.676, 0.000000, 0.000000
2.677, 0.000000, 0.000000
2.678, 0.000000, 0.000000
2.679, 0.000000, 0.000000
2.68, 0.000000, 0.000000
2.681, 0.000000, 0.000000
2.682, 0.000000, 0.000000
2.683, 0.000000, 0.000000
2.684, 0.000000, 0.000000
2.685, 0.000000, 0.000000
2.686, 0.000000, 0.000000
2.687, 0.000000, 0.000000
2.688, 0.000000, 0.000000
2.689, 0.000000, 0.000000
2.69, 0.000000, 0.000000
2.691, 0.000000, 0.000000
2.692, 0.000000, 0.000000
2.693, 0.000000, 0.000000
2.694, 0.000000, 0.000000
2.695, 0.000000, 0.000000
2.696, 0.000000, 0.000000
2.697, 0.000000, 0.000000
2.698, 0.000000, 0.000000
2.699, 0.000000, 0.000000
2.7, 0.000000, 0.000000
2.701, 0.000000, 0.000000
2.702, 0.000000, 0.000000
2.703, 0.000000, 0.000000
2.704, 0.000000, 0.000000
2.705, 0.000000, 0.000000
2.706, 0.000000, 0.000000
2.707, 0.000000, 0.000000
2.708, 0.000000, 0.000000
2.709, 0.000000, 0.000000
2.71, 0.000000, 0.000000
2.711, 0.000000, 0.000000
2.712, 0.000000, 0.000000
2.713, 0.000000, 0.000000
2.714, 0.000000, 0.000000
2.715, 0.000000, 0.000000
2.716, 0.000000, 0.000000
2.717, 0.000000, 0.000000
2.718, 0.000000, 0.000000
2.719, 0.000000, 0.000000
2.72, 0.000000, 0.000000
2.721, 0.000000, 0.000000
2.722, 0.000000, 0.000000
2.723, 0.000000, 0.000000
2.724, 0.000000, 0.000000
2.725, 0.000000, 0.000000
2.726, 0.000000, 0.000000
2.727, 0.000000, 0.000000
2.728, 0.000000, 0.000000
2.729, 0.000000, 0.000000
2.73, 0.000000, 0.000000
2.731, 0.000000, 0.000000
2.732, 0.000000, 0.000000
2.733, 0.000000, 0.000000
2.734, 0.000000, 0.000000
2.735, 0.000000, 0.000000
2.736, 0.000000, 0.000000
2.737, 0.000000, 0.000000
2.738, 0.000000, 0.000000
2.739, 0.000000, 0.000000
2.74, 0.000000, 0.000000
2.741, 0.000000, 0.000000
2.742, 0.000000, 0.000000
2.743, 0.000000, 0.000000
2.744, 0.000000, 0.000000
2.745, 0.000000, 0.000000
2.746, 0.000000, 0.000000
2.747, 0.000000, 0.000000
2.748, 0.000000, 0.000000
2.749, 0.000000, 0.000000
2.75, 0.000000, 0.000000
2.751, 0.000000, 0.000000
2.752, 0.000000, 0.000000
2.753, 0.000000, 0.000000
2.754, 0.000000, 0.000000
2.755, 0.000000, 0.000000
2.756, 0.000000, 0.000000
2.757, 0.000000, 0.000000
2.758, 0.000000, 0.000000
2.759, 0.000000, 0.000000
2.76, 0.000000, 0.000000
2.761, 0.000000, 0.000000
2.762, 0.000000, 0.000000
2.763, 0.000000, 0.000000
2.764, 0.000000, 0.000000
2.765, 0.000000, 0.000000
2.766, 0.000000, 0.000000
2.767, 0.000000, 0.000000
2.768, 0.000000, 0.000000
2.769, 0.000000, 0.000000
2.77, 0.000000, 0.000000
2.771, 0.000000, 0.000000
2.772, 0.000000, 0.000000
2.773, 0.000000, 0.000000
2.774, 0.000000, 0.000000
2.775, 0.000000, 0.000000
2.776, 0.000000, 0.000000
2.777, 0.000000, 0.000000
2.778, 0.000000, 0.000000
2.779, 0.000000, 0.000000
2.78, 0.000000, 0.000000
2.781, 0.000000, 0.000000
2.782, 0.000000, 0.000000
2.783, 0.000000, 0.000000
2.784, 0.000000, 0.000000
2.785, 0.000000, 0.000000
2.786, 0.000000, 0.000000
2.787, 0.000000, 0.000000
2.788, 0.000000, 0.000000
2.789, 0.000000, 0.000000
2.79, 0.000000, 0.000000
2.791, 0.000000, 0.000000
2.792, 0.000000, 0.000000
2.793, 0.000000, 0.000000
2.794, 0.000000, 0.000000
2.795, 0.000000, 0.000000
2.796, 0.000000, 0.000000
2.797, 0.000000, 0.000000
2.798, 0.000000, 0.000000
2.799, 0.000000, 0.000000
2.8, 0.000000, 0.000000
2.801, 0.000000, 0.000000
2.802, 0.000000, 0.000000
2.803, 0.000000, 0.000000
2.804, 0.000000, 0.000000
2.805, 0.000000, 0.000000
2.806, 0.000000, 0.000000
2.807, 0.000000, 0.000000
2.808, 0.000000, 0.000000
2.809, 0.000000, 0.000000
2.81, 0.000000, 0.000000
2.811, 0.000000, 0.000000
2.812, 0.000000, 0.000000
2.813, 0.000000, 0.000000
2.814, 0.000000, 0.000000
2.815, 0.000000, 0.000000
2.816, 0.000000, 0.000000
2.817, 0.000000, 0.000000
2.818, 0.000000, 0.000000
2.819, 0.000000, 0.000000
2.82, 0.000000, 0.000000
2.821, 0.000000, 0.000000
2.822, 0.000000, 0.000000
2.823, 0.000000, 0.000000
2.824, 0.000000, 0.000000
2.825, 0.000000, 0.000000
2.826, 0.000000, 0.000000
2.827, 0.000000, 0.000000
2.828, 0.000000, 0.000000
2.829, 0.000000, 0.000000
2.83, 0.000000, 0.000000
2.831, 0.000000, 0.000000
2.832, 0.000000, 0.000000
2.833, 0.000000, 0.000000
2.834, 0.000000, 0.000000
2.835, 0.000000, 0.000000
2.836, 0.000000, 0.000000
2.837, 0.000000, 0.000000
2.838, 0.000000, 0.000000
2.839, 0.000000, 0.000000
2.84, 0.000000, 0.000000
2.841, 0.000000, 0.000000
2.842, 0.000000, 0.000000
2.843, 0.000000, 0.000000
2.844, 0.000000, 0.000000
2.845, 0.000000, 0.000000
2.846, 0.000000, 0.000000
2.847, 0.000000, 0.000000
2.848, 0.000000, 0.000000
2.849, 0.000000, 0.000000
2.85, 0.000000, 0.000000
2.851, 0.000000, 0.000000
2.852, 0.000000, 0.000000
2.853, 0.000000, 0.000000
2.854, 0.000000, 0.000000
2.855, 0.000000, 0.000000
2.856, 0.000000, 0.000000
2.857, 0.000000, 0.000000
2.858, 0.000000, 0.000000
2.859, 0.000000, 0.000000
2.86, 0.000000, 0.000000
2.861, 0.000000, 0.000000
2.862, 0.000000, 0.000000
2.863, 0.000000, 0.000000
2.864, 0.000000, 0.000000
2.865, 0.000000, 0.000000
2.866, 0.000000, 0.000000
2.867, 0.000000, 0.000000
2.868, 0.000000, 0.000000
2.869, 0.000000, 0.000000
2.87, 0.000000, 0.000000
2.871, 0.000000, 0.000000
2.872, 0.000000, 0.000000
2.873, 0.000000, 0.000000
2.874, 0.000000, 0.000000
2.875, 0.000000, 0.000000
2.876, 0.000000, 0.000000
2.877, 0.000000, 0.000000
2.878, 0.000000, 0.000000
2.879, 0.000000, 0.000000
2.88, 0.000000, 0.000000
2.881, 0.000000, 0.000000
2.882, 0.000000, 0.000000
2.883, 0.000000, 0.000000
2.884, 0.000000, 0.000000
2.885, 0.000000, 0.000000
2.886, 0.000000, 0.000000
2.887, 0.000000, 0.000000
2.888, 0.000000, 0.000000
2.889, 0.000000, 0.000000
2.89, 0.000000, 0.000000
2.891, 0.000000, 0.000000
2.892, 0.000000, 0.000000
2.893, 0.000000, 0.000000
2.894, 0.000000, 0.000000
2.895, 0.000000, 0.000000
2.896, 0.000000, 0.000000
2.897, 0.000000, 0.000000
2.898, 0.000000, 0.000000
2.899, 0.000000, 0.000000
2.9, 0.000000, 0.000000
2.901, 0.000000, 0.000000
2.902, 0.000000, 0.000000
2.903, 0.000000, 0.000000
2.904, 0.000000, 0.000000
2.905, 0.000000, 0.000000
2.906, 0.000000, 0.000000
2.907, 0.000000, 0.000000
2.908, 0.000000, 0.000000
2.909, 0.000000, 0.000000
2.91, 0.000000, 0.000000
2.911, 0.000000, 0.000000
2.912, 0.000000, 0.000000
2.913, 0.000000, 0.000000
2.914, 0.000000, 0.000000
2.915, 0.000000, 0.000000
2.916, 0.000000, 0.000000
2.917, 0.000000, 0.000000
2.918, 0.000000, 0.000000
2.919, 0.000000, 0.000000
2.92, 0.000000, 0.000000
2.921, 0.000000, 0.000000
2.922, 0.000000, 0.000000
2.923, 0.000000, 0.000000
2.924, 0.000000, 0.000000
2.925, 0.000000, 0.000000
2.926, 0.000000, 0.000000
2.927, 0.000000, 0.000000
2.928, 0.000000, 0.000000
2.929, 0.000000, 0.000000
2.93, 0.000000, 0.000000
2.931, 0.000000, 0.000000
2.932, 0.000000, 0.000000
2.933, 0.000000, 0.000000
2.934, 0.000000, 0.000000
2.935, 0.000000, 0.000000
2.936, 0.000000, 0.000000
2.937, 0.000000, 0.000000
2.938, 0.000000, 0.000000
2.939, 0.000000, 0.000000
2.94, 0.000000, 0.000000
2.941, 0.000000, 0.000000
2.942, 0.000000, 0.000000
2.943, 0.000000, 0.000000
2.944, 0.000000, 0.000000
2.945, 0.000000, 0.000000
2.946, 0.000000, 0.000000
2.947, 0.000000, 0.000000
2.948, 0.000000, 0.000000
2.949, 0.000000, 0.000000
2.95, 0.000000, 0.000000
2.951, 0.000000, 0.000000
2.952, 0.000000, 0.000000
2.953, 0.000000, 0.000000
2.954, 0.000000, 0.000000
2.955, 0.000000, 0.000000
2.956, 0.000000, 0.000000
2.957, 0.000000, 0.000000
2.958, 0.000000, 0.000000
2.959, 0.000000, 0.000000
2.96, 0.000000, 0.000000
2.961, 0.000000, 0.000000
2.962, 0.000000, 0.000000
2.963, 0.000000, 0.000000
2.964, 0.000000, 0.000000
2.965, 0.000000, 0.000000
2.966, 0.000000, 0.000000
2.967, 0.000000, 0.000000
2.968, 0.000000, 0.000000
2.969, 0.000000, 0.000000
2.97, 0.000000, 0.000000
2.971, 0.000000, 0.000000
2.972, 0.000000, 0.000000
2.973, 0.000000, 0.000000
2.974, 0.000000, 0.000000
2.975, 0.000000, 0.000000
2.976, 0.000000, 0.000000
2.977, 0.000000, 0.000000
2.978, 0.000000, 0.000000
2.979, 0.000000, 0.000000
2.98, 0.000000, 0.000000
2.981, 0.000000, 0.000000
2.982, 0.000000, 0.000000
2.983, 0.000000, 0.000000
2.984, 0.000000, 0.000000
2.985, 0.000000, 0.000000
2.986, 0.000000, 0.000000
2.987, 0.000000, 0.000000
2.988, 0.000000, 0.000000
2.989, 0.000000, 0.000000
2.99, 0.000000, 0.000000
2.991, 0.000000, 0.000000
2.992, 0.000000, 0.000000
2.993, 0.000000, 0.000000
2.994, 0.000000, 0.000000
2.995, 0.000000, 0.000000
2.996, 0.000000, 0.000000
2.997, 0.000000, 0.000000
2.998, 0.000000, 0.000000
2.999, 0.000000, 0.000000
3, 0.000000, 0.000000
