"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x","system.fmu.der(x)","system.fmu.k"
2.496, 0.00925288, 0.000686908, 2.4, 0.0797664430769, -0.0797664430769, 1
2.497, 0.00925645, 0.000687169, 2.4, 0.0797664430769, -0.0797664430769, 1
2.498, 0.00926009, 0.000687429, 2.4, 0.0797664430769, -0.0797664430769, 1
2.499, 0.009263601, 0.000687689, 2.4, 0.0797664430769, -0.0797664430769, 1
2.5, 0.009267361, 0.000688088, 2.5, 0.0717897987692, -0.0717897987692, 1
2.501, 0.009270931, 0.000688348, 2.5, 0.0717897987692, -0.0717897987692, 1
2.502, 0.009274491, 0.000688608, 2.5, 0.0717897987692, -0.0717897987692, 1
2.503, 0.009277981, 0.000688858, 2.5, 0.0717897987692, -0.0717897987692, 1
2.504, 0.009281641, 0.000689108, 2.5, 0.0717897987692, -0.0717897987692, 1
2.505, 0.009285121, 0.000689358, 2.5, 0.0717897987692, -0.0717897987692, 1
2.506, 0.009288891, 0.000689618, 2.5, 0.0717897987692, -0.0717897987692, 1
2.507, 0.009292441, 0.000689878, 2.5, 0.0717897987692, -0.0717897987692, 1
2.508, 0.009295882, 0.000690139, 2.5, 0.0717897987692, -0.0717897987692, 1
2.509, 0.009299502, 0.000690397, 2.5, 0.0717897987692, -0.0717897987692, 1
2.51, 0.009303102, 0.000690666, 2.5, 0.0717897987692, -0.0717897987692, 1
2.511, 0.009306742, 0.000690925, 2.5, 0.0717897987692, -0.0717897987692, 1
2.512, 0.009310193, 0.000691185, 2.5, 0.0717897987692, -0.0717897987692, 1
2.513, 0.009313753, 0.000691436, 2.5, 0.0717897987692, -0.0717897987692, 1
2.514, 0.009317183, 0.000691694, 2.5, 0.0717897987692, -0.0717897987692, 1
2.515, 0.009320762, 0.000691965, 2.5, 0.0717897987692, -0.0717897987692, 1
2.516, 0.009324233, 0.000692226, 2.5, 0.0717897987692, -0.0717897987692, 1
2.517, 0.009327893, 0.000692483, 2.5, 0.0717897987692, -0.0717897987692, 1
2.518, 0.009331423, 0.00069274, 2.5, 0.0717897987692, -0.0717897987692, 1
2.519, 0.009334983, 0.00069301, 2.5, 0.0717897987692, -0.0717897987692, 1
2.52, 0.009338443, 0.000693268, 2.5, 0.0717897987692, -0.0717897987692, 1
2.521, 0.009342123, 0.000693527, 2.5, 0.0717897987692, -0.0717897987692, 1
2.522, 0.009345663, 0.000693787, 2.5, 0.0717897987692, -0.0717897987692, 1
2.523, 0.009349323, 0.000694037, 2.5, 0.0717897987692, -0.0717897987692, 1
2.524, 0.009352893, 0.000694297, 2.5, 0.0717897987692, -0.0717897987692, 1
2.525, 0.009356353, 0.000694567, 2.5, 0.0717897987692, -0.0717897987692, 1
2.526, 0.009359973, 0.000694827, 2.5, 0.0717897987692, -0.0717897987692, 1
2.527, 0.009363513, 0.000695077, 2.5, 0.0717897987692, -0.0717897987692, 1
2.528, 0.009367013, 0.000695347, 2.5, 0.0717897987692, -0.0717897987692, 1
2.529, 0.009370493, 0.000695609, 2.5, 0.0717897987692, -0.0717897987692, 1
2.53, 0.009374003, 0.000695858, 2.5, 0.0717897987692, -0.0717897987692, 1
2.531, 0.009377474, 0.000696128, 2.5, 0.0717897987692, -0.0717897987692, 1
2.532, 0.009381054, 0.000696388, 2.5, 0.0717897987692, -0.0717897987692, 1
2.533, 0.009384563, 0.000696649, 2.5, 0.0717897987692, -0.0717897987692, 1
2.534, 0.009388224, 0.00069692, 2.5, 0.0717897987692, -0.0717897987692, 1
2.535, 0.009394155, 0.000697181, 2.5, 0.0717897987692, -0.0717897987692, 1
2.536, 0.009397846, 0.000697432, 2.5, 0.0717897987692, -0.0717897987692, 1
2.537, 0.009401306, 0.000697691, 2.5, 0.0717897987692, -0.0717897987692, 1
2.538, 0.009404885, 0.00069795, 2.5, 0.0717897987692, -0.0717897987692, 1
2.539, 0.009408365, 0.000698189, 2.5, 0.0717897987692, -0.0717897987692, 1
2.54, 0.009411925, 0.000698469, 2.5, 0.0717897987692, -0.0717897987692, 1
2.541, 0.009415385, 0.000698731, 2.5, 0.0717897987692, -0.0717897987692, 1
2.542, 0.009419046, 0.000698991, 2.5, 0.0717897987692, -0.0717897987692, 1
2.543, 0.009422576, 0.000699251, 2.5, 0.0717897987692, -0.0717897987692, 1
2.544, 0.009426106, 0.000699511, 2.5, 0.0717897987692, -0.0717897987692, 1
2.545, 0.009429626, 0.000699781, 2.5, 0.0717897987692, -0.0717897987692, 1
2.546, 0.009433206, 0.000700041, 2.5, 0.0717897987692, -0.0717897987692, 1
2.547, 0.009436706, 0.000700291, 2.5, 0.0717897987692, -0.0717897987692, 1
2.548, 0.009440186, 0.000700561, 2.5, 0.0717897987692, -0.0717897987692, 1
2.549, 0.009443736, 0.000700831, 2.5, 0.0717897987692, -0.0717897987692, 1
2.55, 0.009447176, 0.000701102, 2.5, 0.0717897987692, -0.0717897987692, 1
2.551, 0.009450725, 0.000701364, 2.5, 0.0717897987692, -0.0717897987692, 1
2.552, 0.009454146, 0.000701626, 2.5, 0.0717897987692, -0.0717897987692, 1
2.553, 0.009457656, 0.000701895, 2.5, 0.0717897987692, -0.0717897987692, 1
2.554, 0.009461137, 0.000702165, 2.5, 0.0717897987692, -0.0717897987692, 1
2.555, 0.009464726, 0.000702424, 2.5, 0.0717897987692, -0.0717897987692, 1
2.556, 0.009468187, 0.000702686, 2.5, 0.0717897987692, -0.0717897987692, 1
2.557, 0.009471747, 0.000702955, 2.5, 0.0717897987692, -0.0717897987692, 1
2.558, 0.009475267, 0.000703205, 2.5, 0.0717897987692, -0.0717897987692, 1
2.559, 0.009478757, 0.000703455, 2.5, 0.0717897987692, -0.0717897987692, 1
2.56, 0.009482217, 0.000703708, 2.5, 0.0717897987692, -0.0717897987692, 1
2.561, 0.009485648, 0.000703968, 2.5, 0.0717897987692, -0.0717897987692, 1
2.562, 0.009489198, 0.00070423, 2.5, 0.0717897987692, -0.0717897987692, 1
2.563, 0.009492758, 0.00070449, 2.5, 0.0717897987692, -0.0717897987692, 1
2.564, 0.009496328, 0.00070476, 2.5, 0.0717897987692, -0.0717897987692, 1
2.565, 0.009499818, 0.00070502, 2.5, 0.0717897987692, -0.0717897987692, 1
2.566, 0.009503498, 0.00070527, 2.5, 0.0717897987692, -0.0717897987692, 1
2.567, 0.009506967, 0.00070553, 2.5, 0.0717897987692, -0.0717897987692, 1
2.568, 0.009510607, 0.0007058, 2.5, 0.0717897987692, -0.0717897987692, 1
2.569, 0.009514037, 0.00070606, 2.5, 0.0717897987692, -0.0717897987692, 1
2.57, 0.009517667, 0.00070631, 2.5, 0.0717897987692, -0.0717897987692, 1
2.571, 0.009521237, 0.00070656, 2.5, 0.0717897987692, -0.0717897987692, 1
2.572, 0.009524867, 0.00070682, 2.5, 0.0717897987692, -0.0717897987692, 1
2.573, 0.009528377, 0.000707087, 2.5, 0.0717897987692, -0.0717897987692, 1
2.574, 0.009532057, 0.000707357, 2.5, 0.0717897987692, -0.0717897987692, 1
2.575, 0.009535606, 0.000707608, 2.5, 0.0717897987692, -0.0717897987692, 1
2.576, 0.009539277, 0.000707859, 2.5, 0.0717897987692, -0.0717897987692, 1
2.577, 0.009542807, 0.000708108, 2.5, 0.0717897987692, -0.0717897987692, 1
2.578, 0.009546346, 0.000708366, 2.5, 0.0717897987692, -0.0717897987692, 1
2.579, 0.009549986, 0.000708625, 2.5, 0.0717897987692, -0.0717897987692, 1
2.58, 0.009553516, 0.000708905, 2.5, 0.0717897987692, -0.0717897987692, 1
2.581, 0.009557215, 0.000709176, 2.5, 0.0717897987692, -0.0717897987692, 1
2.582, 0.009560835, 0.000709436, 2.5, 0.0717897987692, -0.0717897987692, 1
2.583, 0.009564426, 0.000709675, 2.5, 0.0717897987692, -0.0717897987692, 1
2.584, 0.009568016, 0.000709925, 2.5, 0.0717897987692, -0.0717897987692, 1
2.585, 0.009571586, 0.000710185, 2.5, 0.0717897987692, -0.0717897987692, 1
2.586, 0.009575176, 0.000710455, 2.5, 0.0717897987692, -0.0717897987692, 1
2.587, 0.009578816, 0.000710705, 2.5, 0.0717897987692, -0.0717897987692, 1
2.588, 0.009582416, 0.000710955, 2.5, 0.0717897987692, -0.0717897987692, 1
2.589, 0.009585976, 0.000711215, 2.5, 0.0717897987692, -0.0717897987692, 1
2.59, 0.009592976, 0.000711475, 2.5, 0.0717897987692, -0.0717897987692, 1
2.591, 0.009596746, 0.000711745, 2.5, 0.0717897987692, -0.0717897987692, 1
2.592, 0.009600186, 0.000712004, 2.5, 0.0717897987692, -0.0717897987692, 1
2.593, 0.009603725, 0.000712272, 2.5, 0.0717897987692, -0.0717897987692, 1
2.594, 0.009607185, 0.000712523, 2.5, 0.0717897987692, -0.0717897987692, 1
2.595, 0.009610686, 0.000712784, 2.5, 0.0717897987692, -0.0717897987692, 1
2.596, 0.009614265, 0.000713023, 2.5, 0.0717897987692, -0.0717897987692, 1
2.597, 0.009617856, 0.000713284, 2.5, 0.0717897987692, -0.0717897987692, 1
2.598, 0.009621315, 0.000713552, 2.5, 0.0717897987692, -0.0717897987692, 1
2.599, 0.009624924, 0.000713801, 2.5, 0.0717897987692, -0.0717897987692, 1
2.6, 0.009628574, 0.000714182, 2.6, 0.0646108188923, -0.0646108188923, 1
2.601, 0.009632265, 0.000714444, 2.6, 0.0646108188923, -0.0646108188923, 1
2.602, 0.009635805, 0.000714704, 2.6, 0.0646108188923, -0.0646108188923, 1
2.603, 0.009639535, 0.000714962, 2.6, 0.0646108188923, -0.0646108188923, 1
2.604, 0.009643045, 0.000715225, 2.6, 0.0646108188923, -0.0646108188923, 1
2.605, 0.009646585, 0.000715465, 2.6, 0.0646108188923, -0.0646108188923, 1
2.606, 0.009650155, 0.000715715, 2.6, 0.0646108188923, -0.0646108188923, 1
2.607, 0.009654135, 0.000716195, 2.6, 0.0646108188923, -0.0646108188923, 1
2.608, 0.009657625, 0.000716445, 2.6, 0.0646108188923, -0.0646108188923, 1
2.609, 0.009661425, 0.000716715, 2.6, 0.0646108188923, -0.0646108188923, 1
2.61, 0.009664975, 0.000716985, 2.6, 0.0646108188923, -0.0646108188923, 1
2.611, 0.009668475, 0.000717245, 2.6, 0.0646108188923, -0.0646108188923, 1
2.612, 0.009672025, 0.000717495, 2.6, 0.0646108188923, -0.0646108188923, 1
2.613, 0.009675575, 0.000717755, 2.6, 0.0646108188923, -0.0646108188923, 1
2.614, 0.009679156, 0.000718026, 2.6, 0.0646108188923, -0.0646108188923, 1
2.615, 0.009682706, 0.000718293, 2.6, 0.0646108188923, -0.0646108188923, 1
2.616, 0.009686356, 0.000718544, 2.6, 0.0646108188923, -0.0646108188923, 1
2.617, 0.009689836, 0.000718804, 2.6, 0.0646108188923, -0.0646108188923, 1
2.618, 0.009693556, 0.000719064, 2.6, 0.0646108188923, -0.0646108188923, 1
2.619, 0.009697036, 0.000719334, 2.6, 0.0646108188923, -0.0646108188923, 1
2.62, 0.009700775, 0.000719582, 2.6, 0.0646108188923, -0.0646108188923, 1
2.621, 0.009704274, 0.000719853, 2.6, 0.0646108188923, -0.0646108188923, 1
2.622, 0.009707754, 0.000720112, 2.6, 0.0646108188923, -0.0646108188923, 1
2.623, 0.009711333, 0.000720382, 2.6, 0.0646108188923, -0.0646108188923, 1
2.624, 0.009714853, 0.000720643, 2.6, 0.0646108188923, -0.0646108188923, 1
2.625, 0.009718373, 0.000720894, 2.6, 0.0646108188923, -0.0646108188923, 1
2.626, 0.009721943, 0.000721144, 2.6, 0.0646108188923, -0.0646108188923, 1
2.627, 0.009725513, 0.000721404, 2.6, 0.0646108188923, -0.0646108188923, 1
2.628, 0.009729063, 0.000721644, 2.6, 0.0646108188923, -0.0646108188923, 1
2.629, 0.009732643, 0.000721904, 2.6, 0.0646108188923, -0.0646108188923, 1
2.63, 0.009736203, 0.000722174, 2.6, 0.0646108188923, -0.0646108188923, 1
2.631, 0.009739823, 0.000722434, 2.6, 0.0646108188923, -0.0646108188923, 1
2.632, 0.009743313, 0.000722694, 2.6, 0.0646108188923, -0.0646108188923, 1
2.633, 0.009746883, 0.000722954, 2.6, 0.0646108188923, -0.0646108188923, 1
2.634, 0.009750434, 0.000723203, 2.6, 0.0646108188923, -0.0646108188923, 1
2.635, 0.009753965, 0.000723463, 2.6, 0.0646108188923, -0.0646108188923, 1
2.636, 0.009757474, 0.000723713, 2.6, 0.0646108188923, -0.0646108188923, 1
2.637, 0.009760954, 0.000723962, 2.6, 0.0646108188923, -0.0646108188923, 1
2.638, 0.009764485, 0.000724212, 2.6, 0.0646108188923, -0.0646108188923, 1
2.639, 0.009768075, 0.00072447, 2.6, 0.0646108188923, -0.0646108188923, 1
2.64, 0.009771715, 0.00072473, 2.6, 0.0646108188923, -0.0646108188923, 1
2.641, 0.009775134, 0.000724981, 2.6, 0.0646108188923, -0.0646108188923, 1
2.642, 0.009778715, 0.000725231, 2.6, 0.0646108188923, -0.0646108188923, 1
2.643, 0.009782165, 0.000725479, 2.6, 0.0646108188923, -0.0646108188923, 1
2.644, 0.009785875, 0.000725737, 2.6, 0.0646108188923, -0.0646108188923, 1
2.645, 0.009791806, 0.000726009, 2.6, 0.0646108188923, -0.0646108188923, 1
2.646, 0.009795395, 0.00072627, 2.6, 0.0646108188923, -0.0646108188923, 1
2.647, 0.009798865, 0.000726531, 2.6, 0.0646108188923, -0.0646108188923, 1
2.648, 0.009802395, 0.000726781, 2.6, 0.0646108188923, -0.0646108188923, 1
2.649, 0.009805845, 0.000727041, 2.6, 0.0646108188923, -0.0646108188923, 1
2.65, 0.009809395, 0.000727291, 2.6, 0.0646108188923, -0.0646108188923, 1
2.651, 0.009812855, 0.000727541, 2.6, 0.0646108188923, -0.0646108188923, 1
2.652, 0.009816464, 0.000727811, 2.6, 0.0646108188923, -0.0646108188923, 1
2.653, 0.009820074, 0.000728081, 2.6, 0.0646108188923, -0.0646108188923, 1
2.654, 0.009823614, 0.000728341, 2.6, 0.0646108188923, -0.0646108188923, 1
2.655, 0.009827145, 0.000728612, 2.6, 0.0646108188923, -0.0646108188923, 1
2.656, 0.009830845, 0.000728869, 2.6, 0.0646108188923, -0.0646108188923, 1
2.657, 0.009834276, 0.000729128, 2.6, 0.0646108188923, -0.0646108188923, 1
2.658, 0.009837767, 0.000729388, 2.6, 0.0646108188923, -0.0646108188923, 1
2.659, 0.009841327, 0.000729657, 2.6, 0.0646108188923, -0.0646108188923, 1
2.66, 0.009846678, 0.000729978, 2.6, 0.0646108188923, -0.0646108188923, 1
2.661, 0.009851998, 0.000730376, 2.6, 0.0646108188923, -0.0646108188923, 1
2.662, 0.009857698, 0.000730777, 2.6, 0.0646108188923, -0.0646108188923, 1
2.663, 0.009862408, 0.000731137, 2.6, 0.0646108188923, -0.0646108188923, 1
2.664, 0.009867539, 0.000731517, 2.6, 0.0646108188923, -0.0646108188923, 1
2.665, 0.0098727, 0.000731827, 2.6, 0.0646108188923, -0.0646108188923, 1
2.666, 0.00987655, 0.000732077, 2.6, 0.0646108188923, -0.0646108188923, 1
2.667, 0.00988006, 0.000732337, 2.6, 0.0646108188923, -0.0646108188923, 1
2.668, 0.0098836, 0.000732597, 2.6, 0.0646108188923, -0.0646108188923, 1
2.669, 0.00988708, 0.000732857, 2.6, 0.0646108188923, -0.0646108188923, 1
2.67, 0.00989077, 0.000733107, 2.6, 0.0646108188923, -0.0646108188923, 1
2.671, 0.00989426, 0.000733357, 2.6, 0.0646108188923, -0.0646108188923, 1
2.672, 0.0098977, 0.000733617, 2.6, 0.0646108188923, -0.0646108188923, 1
2.673, 0.009901391, 0.000733886, 2.6, 0.0646108188923, -0.0646108188923, 1
2.674, 0.009904891, 0.000734146, 2.6, 0.0646108188923, -0.0646108188923, 1
2.675, 0.009908451, 0.000734405, 2.6, 0.0646108188923, -0.0646108188923, 1
2.676, 0.009912711, 0.000734663, 2.6, 0.0646108188923, -0.0646108188923, 1
2.677, 0.009916271, 0.000734922, 2.6, 0.0646108188923, -0.0646108188923, 1
2.678, 0.009919842, 0.000735182, 2.6, 0.0646108188923, -0.0646108188923, 1
2.679, 0.009923351, 0.000735432, 2.6, 0.0646108188923, -0.0646108188923, 1
2.68, 0.009926812, 0.000735681, 2.6, 0.0646108188923, -0.0646108188923, 1
2.681, 0.009930381, 0.00073594, 2.6, 0.0646108188923, -0.0646108188923, 1
2.682, 0.009933851, 0.000736201, 2.6, 0.0646108188923, -0.0646108188923, 1
2.683, 0.009937621, 0.000736471, 2.6, 0.0646108188923, -0.0646108188923, 1
2.684, 0.009941111, 0.00073674, 2.6, 0.0646108188923, -0.0646108188923, 1
2.685, 0.009944711, 0.000737008, 2.6, 0.0646108188923, -0.0646108188923, 1
2.686, 0.009948172, 0.000737268, 2.6, 0.0646108188923, -0.0646108188923, 1
2.687, 0.009951672, 0.000737518, 2.6, 0.0646108188923, -0.0646108188923, 1
2.688, 0.009955212, 0.000737768, 2.6, 0.0646108188923, -0.0646108188923, 1
2.689, 0.009958772, 0.000738028, 2.6, 0.0646108188923, -0.0646108188923, 1
2.69, 0.009962282, 0.000738298, 2.6, 0.0646108188923, -0.0646108188923, 1
2.691, 0.009965782, 0.000738568, 2.6, 0.0646108188923, -0.0646108188923, 1
2.692, 0.009969322, 0.000738828, 2.6, 0.0646108188923, -0.0646108188923, 1
2.693, 0.009972792, 0.000739088, 2.6, 0.0646108188923, -0.0646108188923, 1
2.694, 0.009976362, 0.000739348, 2.6, 0.0646108188923, -0.0646108188923, 1
2.695, 0.009979882, 0.000739596, 2.6, 0.0646108188923, -0.0646108188923, 1
2.696, 0.009983393, 0.000739846, 2.6, 0.0646108188923, -0.0646108188923, 1
2.697, 0.009986842, 0.000740106, 2.6, 0.0646108188923, -0.0646108188923, 1
2.698, 0.009990322, 0.000740366, 2.6, 0.0646108188923, -0.0646108188923, 1
2.699, 0.009993743, 0.000740625, 2.6, 0.0646108188923, -0.0646108188923, 1
2.7, 0.009999732, 0.000741014, 2.7, 0.058149737003, -0.058149737003, 1
2.701, 0.010003383, 0.000741274, 2.7, 0.058149737003, -0.058149737003, 1
2.702, 0.010007092, 0.000741532, 2.7, 0.058149737003, -0.058149737003, 1
2.703, 0.010010633, 0.000741792, 2.7, 0.058149737003, -0.058149737003, 1
2.704, 0.010014214, 0.000742054, 2.7, 0.058149737003, -0.058149737003, 1
2.705, 0.010017683, 0.000742315, 2.7, 0.058149737003, -0.058149737003, 1
2.706, 0.010021303, 0.000742576, 2.7, 0.058149737003, -0.058149737003, 1
2.707, 0.010024824, 0.000742826, 2.7, 0.058149737003, -0.058149737003, 1
2.708, 0.010028294, 0.000743086, 2.7, 0.058149737003, -0.058149737003, 1
2.709, 0.010031744, 0.000743356, 2.7, 0.058149737003, -0.058149737003, 1
2.71, 0.010035214, 0.000743606, 2.7, 0.058149737003, -0.058149737003, 1
2.711, 0.010038744, 0.000743866, 2.7, 0.058149737003, -0.058149737003, 1
2.712, 0.010042164, 0.000744126, 2.7, 0.058149737003, -0.058149737003, 1
2.713, 0.010045774, 0.000744386, 2.7, 0.058149737003, -0.058149737003, 1
2.714, 0.010049204, 0.000744656, 2.7, 0.058149737003, -0.058149737003, 1
2.715, 0.010052824, 0.000744914, 2.7, 0.058149737003, -0.058149737003, 1
2.716, 0.010056295, 0.000745163, 2.7, 0.058149737003, -0.058149737003, 1
2.717, 0.010059925, 0.000745423, 2.7, 0.058149737003, -0.058149737003, 1
2.718, 0.010063335, 0.000745674, 2.7, 0.058149737003, -0.058149737003, 1
2.719, 0.010066746, 0.000745923, 2.7, 0.058149737003, -0.058149737003, 1
2.72, 0.010070386, 0.000746182, 2.7, 0.058149737003, -0.058149737003, 1
2.721, 0.010073906, 0.000746432, 2.7, 0.058149737003, -0.058149737003, 1
2.722, 0.010077356, 0.000746674, 2.7, 0.058149737003, -0.058149737003, 1
2.723, 0.010080847, 0.000746924, 2.7, 0.058149737003, -0.058149737003, 1
2.724, 0.010084327, 0.000747194, 2.7, 0.058149737003, -0.058149737003, 1
2.725, 0.010087767, 0.000747453, 2.7, 0.058149737003, -0.058149737003, 1
2.726, 0.010091327, 0.000747715, 2.7, 0.058149737003, -0.058149737003, 1
2.727, 0.010094777, 0.000747974, 2.7, 0.058149737003, -0.058149737003, 1
2.728, 0.010098396, 0.000748223, 2.7, 0.058149737003, -0.058149737003, 1
2.729, 0.010101907, 0.000748483, 2.7, 0.058149737003, -0.058149737003, 1
2.73, 0.010105507, 0.000748733, 2.7, 0.058149737003, -0.058149737003, 1
2.731, 0.010108937, 0.000748983, 2.7, 0.058149737003, -0.058149737003, 1
2.732, 0.010112387, 0.000749233, 2.7, 0.058149737003, -0.058149737003, 1
2.733, 0.010115877, 0.000749493, 2.7, 0.058149737003, -0.058149737003, 1
2.734, 0.010119427, 0.000749763, 2.7, 0.058149737003, -0.058149737003, 1
2.735, 0.010123016, 0.000750023, 2.7, 0.058149737003, -0.058149737003, 1
2.736, 0.010126466, 0.000750283, 2.7, 0.058149737003, -0.058149737003, 1
2.737, 0.010130056, 0.000750545, 2.7, 0.058149737003, -0.058149737003, 1
2.738, 0.010133526, 0.000750807, 2.7, 0.058149737003, -0.058149737003, 1
2.739, 0.010137046, 0.000751058, 2.7, 0.058149737003, -0.058149737003, 1
2.74, 0.010140515, 0.00075132, 2.7, 0.058149737003, -0.058149737003, 1
2.741, 0.010144266, 0.000751578, 2.7, 0.058149737003, -0.058149737003, 1
2.742, 0.010147795, 0.000751828, 2.7, 0.058149737003, -0.058149737003, 1
2.743, 0.010151505, 0.0007521, 2.7, 0.058149737003, -0.058149737003, 1
2.744, 0.010155015, 0.000752359, 2.7, 0.058149737003, -0.058149737003, 1
2.745, 0.010158634, 0.000752619, 2.7, 0.058149737003, -0.058149737003, 1
2.746, 0.010162095, 0.00075287, 2.7, 0.058149737003, -0.058149737003, 1
2.747, 0.010165676, 0.000753132, 2.7, 0.058149737003, -0.058149737003, 1
2.748, 0.010169176, 0.00075339, 2.7, 0.058149737003, -0.058149737003, 1
2.749, 0.010172736, 0.000753652, 2.7, 0.058149737003, -0.058149737003, 1
2.75, 0.010176276, 0.000753912, 2.7, 0.058149737003, -0.058149737003, 1
2.751, 0.010179756, 0.000754162, 2.7, 0.058149737003, -0.058149737003, 1
2.752, 0.010183336, 0.000754412, 2.7, 0.058149737003, -0.058149737003, 1
2.753, 0.010186876, 0.000754662, 2.7, 0.058149737003, -0.058149737003, 1
2.754, 0.010190466, 0.000754912, 2.7, 0.058149737003, -0.058149737003, 1
2.755, 0.010193986, 0.000755152, 2.7, 0.058149737003, -0.058149737003, 1
2.756, 0.010199966, 0.000755432, 2.7, 0.058149737003, -0.058149737003, 1
2.757, 0.010203506, 0.000755702, 2.7, 0.058149737003, -0.058149737003, 1
2.758, 0.010207096, 0.000755962, 2.7, 0.058149737003, -0.058149737003, 1
2.759, 0.010210545, 0.000756221, 2.7, 0.058149737003, -0.058149737003, 1
2.76, 0.010214054, 0.000756481, 2.7, 0.058149737003, -0.058149737003, 1
2.761, 0.010217635, 0.000756751, 2.7, 0.058149737003, -0.058149737003, 1
2.762, 0.010221165, 0.000757009, 2.7, 0.058149737003, -0.058149737003, 1
2.763, 0.010224605, 0.000757259, 2.7, 0.058149737003, -0.058149737003, 1
2.764, 0.010228186, 0.000757509, 2.7, 0.058149737003, -0.058149737003, 1
2.765, 0.010231636, 0.000757778, 2.7, 0.058149737003, -0.058149737003, 1
2.766, 0.010235156, 0.000758038, 2.7, 0.058149737003, -0.058149737003, 1
2.767, 0.010238687, 0.000758297, 2.7, 0.058149737003, -0.058149737003, 1
2.768, 0.010242078, 0.000758557, 2.7, 0.058149737003, -0.058149737003, 1
2.769, 0.010245737, 0.000758804, 2.7, 0.058149737003, -0.058149737003, 1
2.77, 0.010249177, 0.000759065, 2.7, 0.058149737003, -0.058149737003, 1
2.771, 0.010252797, 0.000759314, 2.7, 0.058149737003, -0.058149737003, 1
2.772, 0.010256347, 0.000759584, 2.7, 0.058149737003, -0.058149737003, 1
2.773, 0.010259967, 0.000759834, 2.7, 0.058149737003, -0.058149737003, 1
2.774, 0.010263507, 0.000760104, 2.7, 0.058149737003, -0.058149737003, 1
2.775, 0.010267087, 0.000760364, 2.7, 0.058149737003, -0.058149737003, 1
2.776, 0.010270467, 0.000760624, 2.7, 0.058149737003, -0.058149737003, 1
2.777, 0.010274057, 0.000760884, 2.7, 0.058149737003, -0.058149737003, 1
2.778, 0.010277537, 0.000761144, 2.7, 0.058149737003, -0.058149737003, 1
2.779, 0.010280987, 0.000761403, 2.7, 0.058149737003, -0.058149737003, 1
2.78, 0.010284597, 0.000761664, 2.7, 0.058149737003, -0.058149737003, 1
2.781, 0.010288138, 0.000761925, 2.7, 0.058149737003, -0.058149737003, 1
2.782, 0.010291678, 0.000762185, 2.7, 0.058149737003, -0.058149737003, 1
2.783, 0.010295097, 0.000762445, 2.7, 0.058149737003, -0.058149737003, 1
2.784, 0.010298717, 0.000762716, 2.7, 0.058149737003, -0.058149737003, 1
2.785, 0.010302157, 0.000762976, 2.7, 0.058149737003, -0.058149737003, 1
2.786, 0.010305717, 0.000763236, 2.7, 0.058149737003, -0.058149737003, 1
2.787, 0.010309117, 0.000763496, 2.7, 0.058149737003, -0.058149737003, 1
2.788, 0.010312857, 0.000763743, 2.7, 0.058149737003, -0.058149737003, 1
2.789, 0.010316337, 0.000763991, 2.7, 0.058149737003, -0.058149737003, 1
2.79, 0.010319787, 0.000764239, 2.7, 0.058149737003, -0.058149737003, 1
2.791, 0.010323286, 0.000764497, 2.7, 0.058149737003, -0.058149737003, 1
2.792, 0.010326736, 0.000764759, 2.7, 0.058149737003, -0.058149737003, 1
2.793, 0.010330376, 0.000765019, 2.7, 0.058149737003, -0.058149737003, 1
2.794, 0.010333856, 0.000765289, 2.7, 0.058149737003, -0.058149737003, 1
2.795, 0.010337336, 0.000765559, 2.7, 0.058149737003, -0.058149737003, 1
2.796, 0.010340766, 0.000765819, 2.7, 0.058149737003, -0.058149737003, 1
2.797, 0.010344356, 0.000766089, 2.7, 0.058149737003, -0.058149737003, 1
2.798, 0.010347856, 0.000766339, 2.7, 0.058149737003, -0.058149737003, 1
2.799, 0.010351366, 0.000766589, 2.7, 0.058149737003, -0.058149737003, 1
2.8, 0.010354886, 0.000766959, 2.8, 0.0523347633027, -0.0523347633027, 1
2.801, 0.010358676, 0.000767217, 2.8, 0.0523347633027, -0.0523347633027, 1
2.802, 0.010362187, 0.000767489, 2.8, 0.0523347633027, -0.0523347633027, 1
2.803, 0.010365636, 0.000767746, 2.8, 0.0523347633027, -0.0523347633027, 1
2.804, 0.010369276, 0.000767994, 2.8, 0.0523347633027, -0.0523347633027, 1
2.805, 0.010372846, 0.000768242, 2.8, 0.0523347633027, -0.0523347633027, 1
2.806, 0.010376366, 0.000768492, 2.8, 0.0523347633027, -0.0523347633027, 1
2.807, 0.010379806, 0.000768741, 2.8, 0.0523347633027, -0.0523347633027, 1
2.808, 0.010383345, 0.000768992, 2.8, 0.0523347633027, -0.0523347633027, 1
2.809, 0.010386756, 0.000769234, 2.8, 0.0523347633027, -0.0523347633027, 1
2.81, 0.010390256, 0.000769493, 2.8, 0.0523347633027, -0.0523347633027, 1
2.811, 0.010393715, 0.000769753, 2.8, 0.0523347633027, -0.0523347633027, 1
2.812, 0.010399495, 0.000770023, 2.8, 0.0523347633027, -0.0523347633027, 1
2.813, 0.010403016, 0.000770273, 2.8, 0.0523347633027, -0.0523347633027, 1
2.814, 0.010406606, 0.000770533, 2.8, 0.0523347633027, -0.0523347633027, 1
2.815, 0.010410036, 0.000770783, 2.8, 0.0523347633027, -0.0523347633027, 1
2.816, 0.010413586, 0.000771033, 2.8, 0.0523347633027, -0.0523347633027, 1
