"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x","system.fmu.der(x)","system.fmu.k"
0.085, 0.000311046, 2.41e-05, 0, 1, -1, 1
0.086, 0.000314386, 2.436e-05, 0, 1, -1, 1
0.087, 0.000317936, 2.462e-05, 0, 1, -1, 1
0.088, 0.000321266, 2.488e-05, 0, 1, -1, 1
0.089, 0.000324696, 2.514e-05, 0, 1, -1, 1
0.09, 0.000328016, 2.539e-05, 0, 1, -1, 1
0.091, 0.000331576, 2.564e-05, 0, 1, -1, 1
0.092, 0.000334996, 2.59e-05, 0, 1, -1, 1
0.093, 0.000338396, 2.616e-05, 0, 1, -1, 1
0.094, 0.000345836, 2.6418e-05, 0, 1, -1, 1
0.095, 0.000349347, 2.6669e-05, 0, 1, -1, 1
0.096, 0.000352787, 2.6928e-05, 0, 1, -1, 1
0.097, 0.000356377, 2.7176e-05, 0, 1, -1, 1
0.098, 0.000360217, 2.7426e-05, 0, 1, -1, 1
0.099, 0.000363867, 2.7687e-05, 0, 1, -1, 1
0.1, 0.000367467, 2.8108e-05, 0.1, 0.9, -0.9, 1
0.101, 0.000371217, 2.8368e-05, 0.1, 0.9, -0.9, 1
0.102, 0.000374968, 2.8628e-05, 0.1, 0.9, -0.9, 1
0.103, 0.000378598, 2.8888e-05, 0.1, 0.9, -0.9, 1
0.104, 0.000382078, 2.9159e-05, 0.1, 0.9, -0.9, 1
0.105, 0.000385638, 2.942e-05, 0.1, 0.9, -0.9, 1
0.106, 0.000389189, 2.969e-05, 0.1, 0.9, -0.9, 1
0.107, 0.000392769, 2.994e-05, 0.1, 0.9, -0.9, 1
0.108, 0.000396569, 3.02e-05, 0.1, 0.9, -0.9, 1
0.109, 0.000400319, 3.046e-05, 0.1, 0.9, -0.9, 1
0.11, 0.000403879, 3.071e-05, 0.1, 0.9, -0.9, 1
0.111, 0.000407379, 3.097e-05, 0.1, 0.9, -0.9, 1
