signal,max_abs_error,mean_abs_error,rmse,run_a_label,run_a_min,run_a_max,run_b_label,run_b_min,run_b_max
h,43.130285000001194,13.904435648745531,18.9847196297625,ssp4sim,0.0,1.0,omsimulator,-1.0,43.130285000001194
v,29.430000000002092,15.051998513829838,17.17484864207173,ssp4sim,-4.43412,3.110751,omsimulator,-0.0,29.430000000002092
