time,default.VanDerPol.time,default.VanDerPol.x0,default.VanDerPol.der(x0),default.VanDerPol.x1,default.VanDerPol.der(x1),default.VanDerPol.mu
0.0,0.0,2.0,0.0,0.0,-2.0,1.0
0.001,0.001,1.9999981407239387,-0.00199442045511293,-0.00199442045511293,-1.9940148941913058,1.0
0.002,0.002,1.9999946810806297,-0.003984036939234163,-0.003984036939234163,-1.9880426550258996,1.0
0.003,0.003,1.9999895385000277,-0.005968600724915859,-0.005968600724915859,-1.9820839860866921,1.0
0.004,0.004,1.9999824999794547,-0.007947470764148347,-0.007947470764148347,-1.9761406440081823,1.0
0.005,0.005,1.9999735365642357,-0.009920558574758173,-0.009920558574758173,-1.970212910961272,1.0
0.006,0.006,1.9999626201405376,-0.011887778032126789,-0.011887778032126789,-1.9643010634814357,1.0
0.007,0.007,1.9999497482907584,-0.013849120208738588,-0.013849120208738588,-1.9584051713974184,1.0
0.008,0.008,1.999934921322311,-0.015804584366265785,-0.015804584366265785,-1.9525252823223855,1.0
0.009000000000000001,0.009000000000000001,1.9999181433856497,-0.01775418135317763,-0.01775418135317763,-1.9466614123958592,1.0
0.010000000000000002,0.010000000000000002,1.9998994193902901,-0.019697924339331832,-0.019697924339331832,-1.9408135710899816,1.0
0.011000000000000003,0.011000000000000003,1.9998787548459946,-0.021635828345664774,-0.021635828345664774,-1.9349817624483046,1.0
0.012000000000000004,0.012000000000000004,1.9998561554172365,-0.0235679089055041,-0.0235679089055041,-1.9291659886771668,1.0
0.013000000000000005,0.013000000000000005,1.9998316268556604,-0.025494181862451597,-0.025494181862451597,-1.923366250687808,1.0
0.014000000000000005,0.014000000000000005,1.999805174931169,-0.027414663163007672,-0.027414663163007672,-1.9175825486561238,1.0
0.015000000000000006,0.015000000000000006,1.9997768054154947,-0.02932936880696743,-0.02932936880696743,-1.9118148821586645,1.0
0.016000000000000007,0.016000000000000007,1.999746524070931,-0.031238314813145356,-0.031238314813145356,-1.906063250267911,1.0
0.017000000000000008,0.017000000000000008,1.9997143366468961,-0.03314151720863886,-0.03314151720863886,-1.900327651584245,1.0
0.01800000000000001,0.01800000000000001,1.9996802488780172,-0.03503899202262568,-0.03503899202262568,-1.8946080842557758,1.0
0.01900000000000001,0.01900000000000001,1.9996442664834555,-0.03693075528390482,-0.03693075528390482,-1.8889045459880724,1.0
0.02000000000000001,0.02000000000000001,1.99960639512163,-0.038816822892825766,-0.038816822892825766,-1.883217034392878,1.0
0.02100000000000001,0.02100000000000001,1.9995666398259078,-0.04069720903059837,-0.04069720903059837,-1.8775455512894967,1.0
0.022000000000000013,0.022000000000000013,1.999525006773242,-0.04257193113727078,-0.04257193113727078,-1.8718900892721724,1.0
0.023000000000000013,0.023000000000000013,1.9994815017519514,-0.044441005602924626,-0.044441005602924626,-1.866250643329825,1.0
0.024000000000000014,0.024000000000000014,1.999436130445811,-0.04630444856516299,-0.04630444856516299,-1.8606272087029523,1.0
0.025000000000000015,0.025000000000000015,1.9993888984930481,-0.048162276074104754,-0.048162276074104754,-1.8550197804427186,1.0
0.026000000000000016,0.026000000000000016,1.999339811506029,-0.05001450414718096,-0.05001450414718096,-1.8494283532664006,1.0
