signal,max_abs_error,mean_abs_error,rmse,run_a_label,run_a_min,run_a_max,run_b_label,run_b_min,run_b_max
x0,4.995450000322421e-07,2.4997480864650666e-07,2.8905067931913585e-07,ssp4sim,-2.027797,2.027788,omsimulator,-2.02779695087,2.02778843501
x1,4.999800000682342e-07,2.472547547670296e-07,2.8680970831937045e-07,ssp4sim,-2.692625,2.692631,omsimulator,-2.69262455663,2.69263097093
