"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x0","system.fmu.der(x0)","system.fmu.x1","system.fmu.der(x1)","system.fmu.mu"
3.542, 0.016834425, 0.001380904, 3.54, -1.98841531734, 0.327357540886, 0.327357540886, 1.02146809462, 1
3.543, 0.016838866, 0.001381263, 3.54, -1.98841531734, 0.327357540886, 0.327357540886, 1.02146809462, 1
3.544, 0.016843325, 0.001381632, 3.54, -1.98841531734, 0.327357540886, 0.327357540886, 1.02146809462, 1
3.545, 0.016847715, 0.001382013, 3.54, -1.98841531734, 0.327357540886, 0.327357540886, 1.02146809462, 1
3.546, 0.016852195, 0.001382362, 3.54, -1.98841531734, 0.327357540886, 0.327357540886, 1.02146809462, 1
3.547, 0.016856696, 0.001382722, 3.54, -1.98841531734, 0.327357540886, 0.327357540886, 1.02146809462, 1
3.548, 0.016861147, 0.001383082, 3.54, -1.98841531734, 0.327357540886, 0.327357540886, 1.02146809462, 1
3.549, 0.016865547, 0.001383441, 3.54, -1.98841531734, 0.327357540886, 0.327357540886, 1.02146809462, 1
3.55, 0.016870138, 0.00138396, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.551, 0.016874678, 0.00138433, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.552, 0.016879198, 0.00138468, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.553, 0.016883668, 0.00138504, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.554, 0.016888178, 0.0013854, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.555, 0.016892618, 0.00138576, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.556, 0.016898507, 0.001386189, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.557, 0.016905297, 0.001386758, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.558, 0.016912227, 0.001387298, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.559, 0.016918018, 0.001387748, 3.55, -1.98514174193, 0.337572221832, 0.337572221832, 0.992413492103, 1
3.56, 0.016922629, 0.001388289, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.561, 0.016927248, 0.001388658, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.562, 0.016931869, 0.001389029, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.563, 0.016936349, 0.001389399, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.564, 0.017173881, 0.001389899, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.565, 0.017181282, 0.001390588, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.566, 0.017185902, 0.001390948, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.567, 0.017190572, 0.001391318, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.568, 0.017195212, 0.001391688, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.569, 0.017199931, 0.001392058, 3.56, -1.98176601972, 0.347496356753, 0.347496356753, 0.964506381423, 1
3.57, 0.017204771, 0.001392638, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.571, 0.017209401, 0.001392988, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.572, 0.01721399, 0.001393348, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.573, 0.01721849, 0.001393717, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.574, 0.017222999, 0.001394067, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.575, 0.017227599, 0.001394426, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.576, 0.017232089, 0.001394777, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.577, 0.017236769, 0.001395136, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.578, 0.017241229, 0.001395506, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.579, 0.017245749, 0.001395865, 3.57, -1.97829105615, 0.357141420567, 0.357141420567, 0.937711133651, 1
3.58, 0.017250389, 0.001396385, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.581, 0.017254949, 0.001396755, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.582, 0.017259529, 0.001397125, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.583, 0.017263959, 0.001397485, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.584, 0.017268439, 0.001397885, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.585, 0.017272799, 0.001398245, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.586, 0.017277269, 0.001398615, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.587, 0.01728171, 0.001398985, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.588, 0.017286161, 0.001399355, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.589, 0.01729075, 0.001399726, 3.58, -1.97471964194, 0.366518531903, 0.366518531903, 0.911992684405, 1
3.59, 0.01729539, 0.001400246, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.591, 0.01729992, 0.001400608, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.592, 0.01730449, 0.001400968, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.593, 0.017308951, 0.00140133, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.594, 0.017313442, 0.001401699, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.595, 0.017317983, 0.001402067, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.596, 0.017322463, 0.001402439, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.597, 0.017327003, 0.00140279, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.598, 0.017331483, 0.00140315, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.599, 0.017336013, 0.00140351, 3.59, -1.97105445662, 0.375638458747, 0.375638458747, 0.887316590978, 1
3.6, 0.017340653, 0.00140405, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.601, 0.017345193, 0.00140443, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.602, 0.017349753, 0.0014048, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.603, 0.017358053, 0.001405172, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.604, 0.017362643, 0.001405543, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.605, 0.017367643, 0.001405913, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.606, 0.017372454, 0.001406275, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.607, 0.017376924, 0.001406634, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.608, 0.017381404, 0.001406972, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.609, 0.017387294, 0.001407402, 3.6, -1.96729807204, 0.384511624657, 0.384511624657, 0.863649080948, 1
3.61, 0.017397895, 0.001408413, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.611, 0.017410295, 0.001409184, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.612, 0.017418505, 0.001409704, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.613, 0.017424515, 0.001410144, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.614, 0.017429135, 0.001410504, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.615, 0.017433685, 0.001410885, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.616, 0.017438424, 0.001411244, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.617, 0.017443015, 0.001411603, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.618, 0.017447655, 0.001411963, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.619, 0.017452226, 0.001412334, 3.61, -1.96345295579, 0.393148115467, 0.393148115467, 0.840957093011, 1
3.62, 0.017456965, 0.001412903, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.621, 0.017461624, 0.001413285, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.622, 0.017466155, 0.001413634, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.623, 0.017470766, 0.001414006, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.624, 0.017475376, 0.001414378, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.625, 0.017479946, 0.001414738, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.626, 0.017484346, 0.001415098, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.627, 0.017488976, 0.001415478, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.628, 0.017493826, 0.001415838, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.629, 0.017498235, 0.001416198, 3.62, -1.95952147464, 0.401557686397, 0.401557686397, 0.819208310729, 1
3.63, 0.017502965, 0.001416718, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.631, 0.017507805, 0.001417058, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.632, 0.017512296, 0.001417409, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.633, 0.017516925, 0.001417772, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.634, 0.017521375, 0.001418132, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.635, 0.017525916, 0.001418491, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.636, 0.017530436, 0.001418852, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.637, 0.017534916, 0.001419223, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.638, 0.017539407, 0.001419593, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.639, 0.017543858, 0.001419963, 3.63, -1.95550589777, 0.409749769504, 0.409749769504, 0.798371189872, 1
3.64, 0.017548489, 0.001420481, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.641, 0.017553059, 0.001420839, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.642, 0.017562549, 0.001421199, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.643, 0.017567129, 0.001421579, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.644, 0.017571599, 0.001421949, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.645, 0.017576189, 0.001422319, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.646, 0.017580759, 0.001422699, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.647, 0.017585309, 0.00142306, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.648, 0.017589909, 0.001423411, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.649, 0.017594358, 0.001423772, 3.64, -1.95140840008, 0.417733481403, 0.417733481403, 0.778414979951, 1
3.65, 0.017598987, 0.001424314, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.651, 0.017603587, 0.001424684, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.652, 0.017608077, 0.001425046, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.653, 0.017612637, 0.001425406, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.654, 0.017617038, 0.001425766, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.655, 0.017621478, 0.001426115, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.656, 0.017625888, 0.001426483, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.657, 0.017630358, 0.001426843, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.658, 0.017634829, 0.001427202, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.659, 0.017639359, 0.001427562, 3.65, -1.94723106526, 0.425517631202, 0.425517631202, 0.759309740521, 1
3.66, 0.017644009, 0.001428082, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.661, 0.017648519, 0.001428432, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.662, 0.017653009, 0.001428792, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.663, 0.017657559, 0.001429162, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.664, 0.017662019, 0.001429533, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.665, 0.017666539, 0.001429894, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.666, 0.017671219, 0.001430246, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.667, 0.017675718, 0.001430604, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.668, 0.017680269, 0.001430975, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.669, 0.01768468, 0.001431335, 3.66, -1.94297588895, 0.433110728608, 0.433110728608, 0.741026352784, 1
3.67, 0.017689301, 0.001431854, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.671, 0.017694001, 0.001432222, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.672, 0.017698471, 0.001432574, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.673, 0.017703001, 0.001432925, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.674, 0.017707581, 0.001433295, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.675, 0.017712121, 0.001433675, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.676, 0.017716641, 0.001434035, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.677, 0.017721071, 0.001434415, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.678, 0.017725611, 0.001434775, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.679, 0.017730101, 0.001435135, 3.67, -1.93864478166, 0.440520992135, 0.440520992135, 0.723536526979, 1
3.68, 0.017734681, 0.001435645, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.681, 0.017742221, 0.001436025, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.682, 0.017747121, 0.001436392, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.683, 0.017751792, 0.001436741, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.684, 0.017756373, 0.0014371, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.685, 0.017760842, 0.001437461, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.686, 0.017765433, 0.001437831, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.687, 0.017769923, 0.001438193, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.688, 0.017774363, 0.001438555, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.689, 0.017778813, 0.001438904, 3.68, -1.93423957174, 0.447756357405, 0.447756357405, 0.706812806017, 1
3.69, 0.017783453, 0.001439434, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.691, 0.017788013, 0.001439784, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.692, 0.017792722, 0.001440144, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.693, 0.017797182, 0.001440504, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.694, 0.017801672, 0.001440864, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.695, 0.017806252, 0.001441224, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.696, 0.017810762, 0.001441584, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.697, 0.017815272, 0.001441952, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.698, 0.017819983, 0.001442321, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.699, 0.017824463, 0.001442683, 3.69, -1.92976200817, 0.454824485465, 0.454824485465, 0.69082856578, 1
3.7, 0.017829124, 0.001443203, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.701, 0.017833865, 0.001443562, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.702, 0.017838404, 0.001443911, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.703, 0.017842915, 0.00144426, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.704, 0.017847405, 0.001444619, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.705, 0.017851835, 0.001444978, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.706, 0.017856245, 0.001445336, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.707, 0.017860675, 0.001445706, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.708, 0.017865105, 0.001446076, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.709, 0.017869545, 0.001446446, 3.7, -1.92521376331, 0.461732771123, 0.461732771123, 0.675558012465, 1
3.71, 0.017874195, 0.001446976, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.711, 0.017878675, 0.001447336, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.712, 0.017883155, 0.001447686, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.713, 0.017887675, 0.001448046, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.714, 0.017892165, 0.001448415, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.715, 0.017896705, 0.001448784, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.716, 0.017901476, 0.001449143, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.717, 0.017906207, 0.001449514, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.718, 0.017910797, 0.001449883, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.719, 0.017915277, 0.001450242, 3.71, -1.9205964356, 0.468488351248, 0.468488351248, 0.660976177325, 1
3.72, 0.017923937, 0.001450771, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.721, 0.017928507, 0.001451141, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.722, 0.017933206, 0.0014515, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.723, 0.017937767, 0.001451859, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.724, 0.017942297, 0.001452219, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.725, 0.017946797, 0.001452579, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.726, 0.017951597, 0.001452939, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.727, 0.017956127, 0.001453309, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.728, 0.017960587, 0.001453679, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.729, 0.017965117, 0.001454048, 3.72, -1.91591155209, 0.475098113021, 0.475098113021, 0.647058909139, 1
3.73, 0.017969677, 0.001454576, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.731, 0.017974317, 0.001454946, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.732, 0.017978817, 0.001455315, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.733, 0.017983248, 0.001455687, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.734, 0.017987768, 0.001456057, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.735, 0.017992229, 0.001456428, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.736, 0.01799677, 0.001456787, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.737, 0.018001509, 0.001457158, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.738, 0.018005969, 0.001457527, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.739, 0.01801044, 0.001457887, 3.73, -1.91116057096, 0.481568702112, 0.481568702112, 0.633782864693, 1
3.74, 0.01801502, 0.001458427, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.741, 0.01801951, 0.001458787, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.742, 0.01802403, 0.001459147, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.743, 0.01802851, 0.001459517, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.744, 0.01803303, 0.001459887, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.745, 0.01803752, 0.001460257, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.746, 0.01804198, 0.001460625, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.747, 0.01804642, 0.001460984, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.748, 0.01805086, 0.001461343, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.749, 0.018055311, 0.001461692, 3.74, -1.90634488394, 0.487906530759, 0.487906530759, 0.621125497554, 1
3.75, 0.018059831, 0.001462224, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.751, 0.018064501, 0.001462584, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.752, 0.018068971, 0.001462945, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.753, 0.018073491, 0.001463316, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.754, 0.018078032, 0.001463678, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.755, 0.018082512, 0.001464049, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.756, 0.018086973, 0.00146444, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.757, 0.018091432, 0.0014648, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.758, 0.018095912, 0.00146516, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.759, 0.018100342, 0.00146552, 3.75, -1.90146581863, 0.494117785735, 0.494117785735, 0.609065045375, 1
3.76, 0.018108032, 0.00146606, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.761, 0.018112722, 0.00146642, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.762, 0.018117252, 0.00146679, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.763, 0.018121892, 0.00146716, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.764, 0.018126382, 0.00146753, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.765, 0.018130883, 0.001467901, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.766, 0.018135344, 0.001468271, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.767, 0.018139784, 0.001468632, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.768, 0.018144264, 0.001468993, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.769, 0.018148675, 0.001469352, 3.76, -1.89652464077, 0.500208436189, 0.500208436189, 0.597580515957, 1
3.77, 0.018153366, 0.001469892, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.771, 0.018157897, 0.001470263, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.772, 0.018162438, 0.001470622, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.773, 0.018166928, 0.001470992, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.774, 0.018171378, 0.001471352, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.775, 0.018176038, 0.001471722, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.776, 0.018180938, 0.001472082, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.777, 0.018185448, 0.001472432, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.778, 0.018189968, 0.001472802, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.779, 0.018194478, 0.001473162, 3.77, -1.89152255641, 0.506184241348, 0.506184241348, 0.586651672259, 1
3.78, 0.018199068, 0.001473691, 3.78, -1.886460714, 0.512050758071, 0.512050758071, 0.57625901656, 1
